m,freq
-13,1932.2575
-12,1945.421
-11,1958.42
-10,1971.2223
-9,1983.83671
-8,1996.26015
-7,2008.48414
-6,2020.51126
-5,2032.3334
-4,2043.94975
-3,2055.35416
-2,2066.54493
-1,2077.5193
1,2101.83792
2,2112.16743
3,2122.266
4,2132.13162
5,2141.75842
6,2151.14438
7,2160.28542
8,2169.18009
9,2177.82306
10,2186.21347
11,2194.34803
12,2202.22243
13,2209.8359
14,2217.1788
15,2224.2603
