m,freq
-11,2625.9967
-10,2652.2341
-9,2678.00289
-8,2703.28417
-7,2728.05844
-6,2752.31727
-5,2776.04444
-4,2799.22928
-3,2821.85983
-2,2843.92003
-1,2865.39207
1,2906.55366
2,2926.20118
3,2945.21883
4,2963.59089
5,2981.30501
6,2998.35119
7,3014.71738
8,3030.39307
9,3045.36629
10,3059.62418
11,3073.1607
