m,freq
-14,1921.3829
-13,1934.7732
-12,1947.99
-11,1961.02271
-10,1973.86415
-9,1986.51891
-8,1998.98009
-7,2011.24385
-6,2023.30687
-5,2035.16467
-4,2046.81548
-3,2058.25558
-2,2069.48024
-1,2080.48601
1,2098.81052
2,2109.10889
3,2119.17906
4,2129.01728
5,2138.61721
6,2147.97786
7,2157.09471
8,2165.9657
9,2174.5863
10,2182.95653
11,2191.072
12,2198.9262
13,2206.5197
14,2213.8566
15,2220.9187
