Baseline 100%T,,Baseline 0%T,,Stock_nm,Stock_abs,2x_nm,2x_abs,4x_nm,Fluro_UV_4x_abs,6x_nm,6x_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
698.9988403,92.41201782,698.9988403,-0.003774724668,698.9988403,0.004543738905,698.9988403,0.001478324062,698.9988403,-7.392403495E-005,698.9988403,0.004764596466,
697.991333,92.16745758,697.991333,0.01465692371,697.991333,0.004057233222,697.991333,0.001044303761,697.991333,-0.0004988466389,697.991333,0.004294993356,
696.9835205,92.04109192,696.9835205,-0.02168256789,696.9835205,0.004166204482,696.9835205,0.001627805526,696.9835205,0.0001750244119,696.9835205,0.004557472188,
696.0114136,91.89852142,696.0114136,-0.03497538343,696.0114136,0.004316404928,696.0114136,0.001462584012,696.0114136,0.0002965991443,696.0114136,0.004652675241,
695.0029297,91.66497803,695.0029297,-0.017594276,695.0029297,0.003942359705,695.0029297,0.001451129909,695.0029297,-0.0001232514915,695.0029297,0.004820868839,
693.9941406,91.48146057,693.9941406,-0.01186521072,693.9941406,0.003658766858,693.9941406,0.001411133911,693.9941406,-0.0002621457388,693.9941406,0.004052373115,
692.9850464,91.44893646,692.9850464,-0.003056608373,692.9850464,0.00501471106,692.9850464,0.001775362995,692.9850464,0.0003020648437,692.9850464,0.004714873619,
692.0117188,91.1648407,692.0117188,0.05024179071,692.0117188,0.004131654743,692.0117188,0.0008108319598,692.0117188,-0.0008583582821,692.0117188,0.003896099748,
691.0018921,91.09693909,691.0018921,0.0505162105,691.0018921,0.004556791857,691.0018921,0.001070382539,691.0018921,-0.0003234541218,691.0018921,0.004425833467,
689.9918213,90.99732208,689.9918213,0.03147821873,689.9918213,0.004179168027,689.9918213,0.001155739999,689.9918213,-0.0004611465847,689.9918213,0.004129537847,
689.0174561,90.87413788,689.0174561,-0.003293048125,689.0174561,0.004140148405,689.0174561,0.000741592783,689.0174561,-0.0004741273588,689.0174561,0.004871494137,
688.0067139,90.73149109,688.0067139,-0.01930626109,688.0067139,0.004684597719,688.0067139,0.001185589237,688.0067139,-0.0004324944166,688.0067139,0.003681948874,
686.9957275,90.62875366,686.9957275,-0.05159626156,686.9957275,0.004018746782,686.9957275,0.001377166249,686.9957275,-0.0006251619197,686.9957275,0.003632297274,
