Wavelength (nm),Intensity (a.u.)
300.0113831,0.2893362939
300.9906616,0.2782654762
302.0090332,0.2706917524
302.9880981,0.2628251314
304.0061951,0.2588684261
304.9849854,0.2566144764
306.0028687,0.2564093471
306.9814453,0.2579317093
307.9990845,0.2613098323
309.0165405,0.2673616707
309.9947815,0.2743990719
311.0120544,0.2810654938
311.9900208,0.2928618491
313.0069885,0.3057515025
313.9847412,0.3170456588
315.0014954,0.3296580315
316.0180969,0.3436528444
316.9954834,0.3585178554
318.0118408,0.3688093126
318.9889832,0.3770627975
320.0050964,0.382563442
320.9819946,0.3848689795
321.9978333,0.3834334016
323.0135193,0.3786489964
323.9900818,0.3728578389
325.0055237,0.3635271192
325.981781,0.3533684015
326.9969788,0.3403387368
328.0120239,0.3257578611
328.987915,0.3106457591
330.0027466,0.295866996
331.017395,0.2819277048
331.9928894,0.266263634
333.0072937,0.2505701482
333.9825439,0.2336917371
334.9967041,0.2194592655
336.0106812,0.2065942585
336.9855347,0.1911903173
337.9992676,0.1768598855
339.0128479,0.1640475839
339.9873352,0.1519039124
341.0006409,0.1425271183
342.0137939,0.131539315
342.987854,0.1221685112
344.0007935,0.11407087
345.0135498,0.1079492196
345.9872131,0.1022275016
346.9997253,0.09674617648
348.0120544,0.09122620523
348.985321,0.08749656379
349.9973755,0.08442851901
351.0093079,0.08176465333
351.9822083,0.0801319629
352.9938049,0.07808062434
354.0053406,0.07723482698
355.0166626,0.07589521259
355.9889832,0.07654239982
357.000061,0.07616921514
358.0109558,0.07682879269
358.9828796,0.07638952881
359.9935303,0.07723856717
361.0040283,0.07709223032
362.0143433,0.0790676102
362.9856873,0.07982533425
363.9957886,0.08062835038
365.0056458,0.08193027228
366.0154419,0.08246856183
366.9862061,0.083617948
367.995636,0.08511377871
369.0049438,0.08569964021
370.0140991,0.08627897501
370.9843445,0.0876506716
371.9931946,0.0881094411
373.0019226,0.0898232609
374.0104675,0.09066863358
375.0188904,0.0910975188
375.9883728,0.09163238108
376.99646,0.09220066667
378.004425,0.09331975132
379.0122375,0.09342379868
379.9811401,0.09321100265
380.9886169,0.09301210195
381.9959717,0.0932058692
383.0031433,0.09272611886
384.0101929,0.09234511107
385.0170288,0.09241335094
385.9850464,0.09202481806
386.9916077,0.09124204516
387.9980164,0.09155058116
389.0042725,0.09116090089
390.0103455,0.09064500034
391.0162964,0.09080743045
391.9833679,0.09116706252
392.9889832,0.09068467468
393.9944763,0.09121771157
394.9997559,0.09158423543
396.0049133,0.09198165685
397.0098877,0.09254659712
398.014679,0.09297224879
399.0193481,0.09335456789
399.985199,0.09430062771
400.989502,0.09519918263
401.9936829,0.09616442025
402.9976807,0.09685908258
404.0015259,0.098415941
405.005249,0.09993539751
406.0087585,0.1017170325
407.0120544,0.1036479324
408.0152283,0.1061138585
409.01828,0.1090058684
409.9825745,0.112299338
410.9852295,0.1162315533
411.9877319,0.1204776913
412.9901123,0.1253423244
413.9923096,0.1309929043
414.9942932,0.1372760087
415.9961243,0.1444997638
416.9978027,0.1519863307
417.9993286,0.1600029022
419.0006104,0.1695907414
420.0018005,0.1783923954
421.0028076,0.1887911111
422.0036316,0.1996695548
423.0042725,0.2094234377
424.0047302,0.2205668092
425.0050354,0.2319696397
426.005127,0.2448525578
427.0050964,0.2582965493
428.0048828,0.2704539895
429.0045166,0.2837565839
430.0039368,0.2966372669
431.0032043,0.3130941987
432.0022888,0.3288651407
433.0011597,0.3441223204
433.9998474,0.3604914248
434.9984436,0.3781326711
435.9967957,0.3978622854
436.9950256,0.421030581
437.992981,0.4439723492
438.9908447,0.4700311124
439.9885254,0.4931415319
440.9859619,0.5232374668
441.9833069,0.5590005517
443.0187988,0.5970118046
444.0157471,0.6350423098
445.0124512,0.6719593406
446.0090637,0.7134532332
447.0054321,0.7626376748
448.0016479,0.8112537265
448.9976807,0.8581576347
449.9935303,0.907047987
450.9891663,0.9574739933
451.9846191,1.007349849
453.018219,1.061417818
454.0132751,1.109992981
455.0082397,1.156162262
456.0029297,1.202628016
456.9974365,1.24525249
457.9918213,1.293921471
458.9860229,1.337530494
460.018158,1.37196219
461.0120544,1.411301374
462.0056458,1.444924235
462.9989929,1.483604431
463.9921875,1.52524364
464.9852905,1.561529875
466.0162964,1.604729176
467.0089111,1.648900032
468.0014343,1.6987288
468.9936829,1.759372115
469.9857483,1.816476226
471.0157471,1.906411767
472.0074158,1.980747104
472.9989014,2.05994916
473.9902344,2.164447069
474.9813538,2.257246017
476.0103455,2.36517787
477.0010376,2.476553917
477.9915466,2.550802946
478.9818115,2.602241039
480.0101013,2.662944555
481.0000305,2.726960897
481.9897156,2.840007782
483.0173035,2.889009953
484.0066223,2.920086622
484.9957581,2.934854269
485.9846802,2.958467007
487.0114136,2.925246954
487.9999695,2.934272766
488.9882813,2.908789873
490.0144653,2.960199356
491.0023499,2.99128437
491.9900513,2.875649929
493.015564,2.804586172
494.0028992,2.756625414
494.9899597,2.819662571
496.0148315,2.728811502
497.0015259,2.59418416
497.9880371,2.500761509
499.0122681,2.417804956
499.9983521,2.247279167
500.9841919,2.072708368
502.007782,1.905504346
502.9932556,1.697097301
504.0163879,1.514870524
505.0014343,1.338373184
505.9862366,1.184202194
507.0087585,1.049554944
507.9931641,0.9053698182
509.0152283,0.7835035324
509.9992065,0.6728656888
510.9830017,0.579046607
512.0043945,0.5022189617
512.9877319,0.4323011041
514.008728,0.3609252274
514.9916382,0.3034852743
516.0122681,0.2576458454
516.9946899,0.2182408869
518.0147705,0.1887222677
518.9968262,0.1625906825
520.0164795,0.1343921423
520.9981079,0.1130801588
522.0172729,0.0967650339
522.9984741,0.08391052485
524.0172119,0.07186874002
524.9979858,0.06254055351
526.0162354,0.05480419844
526.996582,0.0472516492
528.0144043,0.04343928397
528.9942627,0.03930164501
