Baseline 100%T,,Baseline 0%T,,Quinine_Stock_Wavelength,Quinine_Stock_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,
632.9939575,91.45547485,632.9939575,-0.05868676677,632.9939575,0.0005688022939,
632.0028076,91.42594147,632.0028076,-0.02822334133,632.0028076,0.0006596091553,
631.0113525,91.35610199,631.0113525,-0.02390743047,631.0113525,-6.4503045E-005,
629.9828491,91.34030151,629.9828491,0.00434499234,629.9828491,8.069405885E-005,
628.9909058,91.32394409,628.9909058,0.02131468989,628.9909058,-0.0001224233711,
627.9985352,91.40833282,627.9985352,0.05324595422,627.9985352,0.0003798355465,
627.0059814,91.38738251,627.0059814,-0.03002439626,627.0059814,0.0002090795169,
626.0131836,91.35639191,626.0131836,0.01107664965,626.0131836,0.0001163989073,
624.9832764,91.35825348,624.9832764,-0.02447780594,624.9832764,3.220333747E-005,
623.9898682,91.26836395,623.9898682,0.03250371292,623.9898682,-0.0002471923945,
622.9961548,91.31871796,622.9961548,-0.03154218569,622.9961548,-5.435713319E-005,
622.0022583,91.50564575,622.0022583,0.002389714587,622.0022583,0.0005633591791,
621.0079956,91.38342285,621.0079956,0.08764646202,621.0079956,-7.702980656E-005,
620.0135498,91.37861633,620.0135498,0.06576783955,620.0135498,-0.0001662078867,
618.9818726,91.33978271,618.9818726,0.01766238362,618.9818726,-2.645465429E-005,
617.9868164,91.30586243,617.9868164,0.06033702567,617.9868164,-0.0002308414696,
616.9915771,91.34920502,616.9915771,0.05990073457,616.9915771,-0.0001897544571,
615.9959717,91.39897919,615.9959717,0.03846646845,615.9959717,0.0002409875597,
615.000061,91.41015625,615.000061,0.03090371378,615.000061,0.0003570106637,
614.0039673,91.40866089,614.0039673,0.06830018014,614.0039673,0.000243810704,
613.0075684,91.48010254,613.0075684,0.05321326479,613.0075684,0.0003037745191,
612.0108032,91.43297577,612.0108032,-0.05430144817,612.0108032,-8.515648369E-005,
611.013855,91.45102692,611.013855,-0.02516899258,611.013855,0.0005166546325,
610.0167236,91.41168213,610.0167236,0.006469351705,610.0167236,0.0001045142271,
608.9822998,91.48873138,608.9822998,0.03759833425,608.9822998,-2.195074558E-005,
607.9844971,91.46621704,607.9844971,-0.01979218237,607.9844971,-2.588589041E-006,
606.9865112,91.51094818,606.9865112,-0.01002238318,606.9865112,0.0003686690761,
605.9881592,91.48365021,605.9881592,-0.003341464326,605.9881592,0.0001513298484,
604.9896851,91.46668243,604.9896851,-0.03633010387,604.9896851,-9.742385737E-005,
603.9908447,91.50489807,603.9908447,-0.0109499041,603.9908447,6.415016833E-005,
602.9918213,91.53683472,602.9918213,0.03172954917,602.9918213,0.0006800388219,
601.9923706,91.51261139,601.9923706,-0.0232937336,601.9923706,0.000221925322,
600.9927979,91.49698639,600.9927979,0,600.9927979,-7.371698302E-005,
599.9929199,91.56578827,599.9929199,0.02936534211,599.9929199,-0.0002171807282,
598.9927368,91.58712006,598.9927368,0.01754878648,598.9927368,-0.0002435186761,
597.9923096,91.57181549,597.9923096,0.04748789221,597.9923096,-0.0001485600515,
596.9916382,91.61067963,596.9916382,0.008002560586,596.9916382,-0.0003370080667,
595.9907837,91.61412811,595.9907837,0.02508081682,595.9907837,-7.915207971E-005,
594.989502,91.71510315,594.989502,0.0273855906,594.989502,0.0005332935252,
