Wavelength (nm),Average Intensity
290.0,1.1291995843333333
291.0,0.5059375257785222
292.0,0.5979596376333333
293.0,0.5716679668194984
294.0,1.924865802
295.0,3.7658835558041335
296.0,7.499759991666667
297.0,12.426024944874683
298.0,18.690240863333333
299.0,25.468531970942376
300.0,32.363581339999996
301.0,40.042583470795535
302.0,47.01923625
303.0,54.915756638225496
304.0,61.73773702
305.0,67.1954240033817
306.0,71.66117350333333
307.0,75.41615286344303
308.0,78.43704986666667
309.0,81.66078456143623
310.0,84.22338613000001
311.0,85.72111399596878
312.0,85.40203348666667
313.0,87.20609490444082
314.0,86.68388621000001
315.0,86.96154674247175
316.0,85.31284586333334
317.0,84.95079909972713
318.0,84.20013936
319.0,83.5290733308243
320.0,82.36087035999999
321.0,79.45520318994109
322.0,79.90626017
323.0,79.45180804928393
324.0,79.31824493333333
325.0,77.88105268863244
326.0,76.50668080666667
327.0,75.5046914495224
328.0,75.32583363666667
329.0,74.34081422293617
330.0,72.55866241333332
331.0,70.06885858364603
332.0,71.19356536666668
333.0,69.20839619694851
334.0,68.17423248333334
335.0,66.78346752313165
336.0,66.0918986
337.0,63.00770481615069
338.0,62.65368016333334
339.0,62.92993247799823
340.0,60.055508929999995
341.0,60.162193756667385
342.0,58.26041793666667
343.0,58.59861647045238
344.0,57.50386047
345.0,56.359410374503746
346.0,56.01024754666667
347.0,54.12103934219925
348.0,55.06867345333333
349.0,52.684333991350194
350.0,52.412685393333334
351.0,50.7202476750735
352.0,51.287336986666666
353.0,51.54003221905745
354.0,49.47714615
355.0,48.09091838937318
356.0,48.804573059999996
357.0,49.78817712824641
358.0,47.37350464
359.0,45.90189835594316
360.0,44.0373497
361.0,44.24102140642651
362.0,43.48040348883156
363.0,42.19234825469125
364.0,41.68810416328244
365.0,39.00997797666667
366.0,37.7901657840101
367.0,36.79807178385932
368.0,35.63986391618089
369.0,33.86513582441418
370.0,32.377531690000005
371.0,33.82168303364038
372.0,31.41059112666667
373.0,30.910109229642842
374.0,31.57002131
375.0,29.285941154658975
376.0,29.63273303
377.0,27.752934343891322
378.0,28.33337847333333
379.0,27.30011832330132
380.0,25.781098686666667
381.0,25.072505066580465
382.0,25.283533109885635
383.0,24.55307882856125
384.0,23.240043850420548
385.0,23.394598643333335
386.0,22.606791098611826
387.0,21.927075581598405
388.0,21.915932822728134
389.0,21.40956980472468
390.0,21.883901596666664
391.0,22.372879466256908
392.0,22.221124013333334
393.0,21.79095268646481
394.0,21.23249944
395.0,19.71863349410098
396.0,18.008456546666665
397.0,17.192003412811093
398.0,15.798854193333334
399.0,15.045886221370267
400.0,14.35126909
401.0,14.667282384118158
402.0,14.209911289527712
403.0,14.004325464708257
404.0,12.61993716315476
405.0,11.871047973333333
406.0,12.820188188367807
407.0,12.074842279816195
408.0,11.342365093289823
409.0,11.151587277191192
410.0,10.99676005
411.0,9.940911835500872
412.0,10.375945754350019
413.0,9.974820893799997
