Wavelength (nm),Average Intensity
290.0,87.15072123
291.0,134.05893251354357
292.0,186.14978026666665
293.0,247.42230367219315
294.0,311.06850176666666
295.0,372.3823852638486
296.0,430.4039917
297.0,475.9160285493442
298.0,516.4619547333333
299.0,546.264229477939
300.0,563.3188883333333
301.0,584.8796098661057
302.0,603.9144083666666
303.0,609.5196411222439
304.0,618.9935709666667
305.0,617.4738439828726
306.0,619.9550171
307.0,616.7595727324709
308.0,618.3215738666667
309.0,612.0779481767609
310.0,599.1430257333334
311.0,588.0446664043828
312.0,581.3902994666665
313.0,568.3726732629325
314.0,559.5699259666667
315.0,549.9609473799472
316.0,535.9210612
317.0,517.5825746931009
318.0,501.34594726666666
319.0,487.75910083424804
320.0,474.69007366666665
321.0,458.831052144103
322.0,445.7622477
323.0,426.8922741026234
324.0,412.57309976666664
325.0,399.5630220784115
326.0,385.86599730000006
327.0,370.56383699386606
328.0,354.49232993333334
329.0,341.9383110339606
330.0,331.2487691333333
331.0,316.7453082690942
332.0,307.2747294
333.0,292.7841219683184
334.0,282.02964276666665
335.0,270.36031384401963
336.0,259.1249186333333
337.0,247.71480675839553
338.0,238.20803833333335
339.0,228.2786225869796
340.0,220.48928836666664
341.0,211.17549159786572
342.0,202.5487722
343.0,193.74322277368597
344.0,186.92274980000002
345.0,178.4249124799492
346.0,172.1592865
347.0,164.04942379158658
348.0,157.05740866666667
349.0,151.19398561649984
350.0,145.14713543333335
351.0,140.1389403179043
352.0,134.31961566666666
353.0,127.90255196999836
354.0,123.28644813333334
355.0,117.25355627050828
356.0,112.36172486666668
357.0,108.676664493714
358.0,103.55566913333332
359.0,98.30369396768096
360.0,95.82394663333332
361.0,93.14659889845791
362.0,88.36804783650761
363.0,83.7946444307551
364.0,81.12513319866432
365.0,77.56517029000001
366.0,73.89970575813054
367.0,70.59235828981409
368.0,67.81329067036886
369.0,65.30412025220375
370.0,61.682858786666664
371.0,58.71419606196684
372.0,55.97475179
373.0,53.60227702588699
374.0,51.46036784
375.0,50.04404339062473
376.0,46.8816096
377.0,45.15869016135067
378.0,42.67822393
379.0,41.18768332652311
380.0,39.501352946666664
381.0,37.54484427155264
382.0,36.15392160142623
383.0,34.64101229697567
384.0,32.67868102224221
385.0,31.167900083333333
386.0,29.965564166094747
387.0,28.453661692954842
388.0,27.034341955603505
389.0,26.132660141380125
390.0,24.877204896666665
391.0,23.67225958149606
392.0,22.991203943333332
393.0,21.99866570239484
394.0,20.94416364
395.0,20.099046994534113
396.0,19.125848136666665
397.0,18.039235465893285
398.0,17.388691583333337
399.0,16.588242835616054
400.0,15.904553413333332
401.0,15.203224234223226
402.0,14.972693882874552
403.0,14.138774662572649
404.0,13.541275695590505
405.0,12.915140786666667
406.0,12.450740829534675
407.0,12.00304244423829
408.0,11.597059821502908
409.0,10.950505079891665
410.0,10.540288286666668
411.0,10.092302364497272
412.0,9.594022944934869
413.0,9.209913774838547
414.0,8.71263858086196
415.0,8.365043004333334
416.0,7.954728498904253
417.0,7.56549188042064
418.0,7.389160336389739
419.0,7.096824058930861
420.0,6.689178307666666
421.0,6.463094454583723
422.0,5.977931980810617
423.0,5.804805473792079
424.0,5.760430254822581
425.0,5.2212142943333335
426.0,5.1717162360358415
