Wavelength (nm),Average Intensity
290.0,336.9647522
291.0,263.00000233333924
292.0,194.237442
293.0,123.6323800999541
294.0,69.531623845
295.0,43.42437573089801
296.0,31.377072335
297.0,29.152702776960506
298.0,30.012875559999998
299.0,30.43755720002246
300.0,32.71437359
301.0,32.016419767628875
302.0,31.362528805
303.0,31.584811830545718
304.0,33.647476194999996
305.0,32.49930026199467
306.0,34.388891220000005
307.0,34.851988742792614
308.0,34.88474655
309.0,34.7042537767264
310.0,37.657571794999996
311.0,37.78163773361556
312.0,41.279664995000005
313.0,46.89114977645904
314.0,50.604961395000004
315.0,58.381186543183674
316.0,67.75957489000001
317.0,77.83679190524853
318.0,84.51536941500001
319.0,89.52965137363717
320.0,95.021514895
321.0,98.31269559068315
322.0,99.630733495
323.0,94.34515710687623
324.0,94.08007431
325.0,93.2287181229908
326.0,97.47803116
327.0,99.9378595181804
328.0,106.61476515
329.0,111.29686414128732
330.0,117.1893234
331.0,122.46638277146417
332.0,128.9507065
333.0,136.71719884075327
334.0,140.6453171
335.0,148.114507543841
336.0,156.27253725
337.0,163.40182982585446
338.0,168.6318207
339.0,177.70956886115752
340.0,180.3639755
341.0,186.45137083833094
342.0,193.92031095
343.0,200.5497603472145
344.0,207.8280487
345.0,211.46763718691972
346.0,215.7309723
347.0,224.19786687165396
348.0,231.80794525
349.0,235.43199702048798
350.0,239.0465698
351.0,241.8721288873072
352.0,244.78318025
353.0,250.7890414249659
354.0,252.51383975
355.0,255.09319205909173
356.0,261.09898375
357.0,259.74282893685063
358.0,261.0518646
359.0,264.31019279084506
360.0,268.73242185000004
361.0,267.5473294969607
362.0,271.17015440711543
363.0,271.8231833163575
364.0,273.97698653074707
365.0,267.94882205
366.0,271.4428334987053
367.0,275.0935159553744
368.0,272.81687737543194
369.0,274.5243465094763
370.0,273.4257355
371.0,269.732762938037
372.0,270.20758055
373.0,266.0279700931367
374.0,266.8304749
375.0,269.4590328546981
376.0,269.181015
377.0,264.3131094726264
378.0,267.5382843
379.0,262.3410763931006
380.0,261.66094975
381.0,259.33002046299026
382.0,257.63470835588873
383.0,258.8193955070886
384.0,256.02126056212046
385.0,253.93926999999996
386.0,252.5731734163851
387.0,256.0833473254817
388.0,247.4938057401111
389.0,250.98924800321112
390.0,245.48485565
391.0,246.88160289649076
392.0,245.7358017
393.0,249.60622417281868
394.0,242.38682555
395.0,244.69744679529435
396.0,242.90914915000002
397.0,238.59643871335152
398.0,236.4463501
399.0,235.96597244276347
400.0,233.33161165
401.0,234.06749718408048
402.0,234.51205800090003
403.0,229.34108935423745
404.0,226.05090733280394
405.0,225.52448270000002
406.0,224.3940774047427
407.0,225.9719772375986
408.0,224.0314717849722
409.0,224.29820230880875
410.0,217.38243864999998
411.0,215.75314897047616
412.0,217.7650179045926
413.0,213.1394259576965
414.0,214.50021621907882
415.0,208.52095789999998
416.0,208.24686053411915
417.0,209.43455521248302
418.0,206.98242035321613
419.0,199.168608132072
420.0,199.74029539999998
421.0,193.42253062392865
422.0,191.13535601896223
423.0,188.30476299403614
424.0,186.30299244499452
425.0,181.6487656
426.0,185.33046780385416
427.0,179.27348655331582
428.0,176.32143019818625
429.0,170.38412548383508
430.0,166.9077835
431.0,161.4062506663406
432.0,162.74691859989258
433.0,160.67886055954085
434.0,158.09134129344585
435.0,153.36894225
436.0,154.34006562801522
437.0,147.21270046416757
438.0,146.34028870585524
439.0,147.61945017685093
440.0,144.5759201
441.0,143.4660422568803
442.0,141.00134682151412
443.0,140.80522278572482
444.0,139.54022972925006
445.0,133.74554445
446.0,134.88378792338148
447.0,133.08844995754632
448.0,133.36711343021608
449.0,128.26779974829452
450.0,126.09768675000001
451.0,124.32657396582565
452.0,125.66569909032077
453.0,121.84232299055984
454.0,124.49612460944016
455.0,122.22194792145599
456.0,118.58838927914492
457.0,113.8557792795736
458.0,115.09630482265445
459.0,112.93800337957812
460.0,109.4795151
461.0,108.14065768183222
462.0,106.47236716582469
463.0,104.68558225323576
464.0,104.22209415870446
465.0,98.28664398000001
466.0,97.63283936761218
467.0,95.20013474511475
468.0,94.72407803503435
469.0,90.37446809979716
470.0,91.44299316499999
471.0,86.93774413578532
472.0,83.52375870663019
473.0,84.29516963234127
474.0,81.29649372765873
475.0,80.90947697151813
476.0,79.76519844417948
477.0,76.35182088172459
478.0,76.55956984583582
479.0,73.71272288567756
480.0,70.74866867
481.0,70.31046692784511
482.0,68.30755423695938
483.0,66.71463665592977
484.0,65.24700320371815
485.0,63.44994545
486.0,62.41799552388693
487.0,61.99113080543282
488.0,59.644159672619026
489.0,57.59933091818367
490.0,55.228961944999995
491.0,55.526867192889796
492.0,54.05788011576769
493.0,52.86982221574563
494.0,50.063269899254365
495.0,51.1196867249312
496.0,46.89796263586578
497.0,49.14573790907033
498.0,45.89453816365612
499.0,45.634552736580744
500.0,43.90624046000001
501.0,42.63584111230236
502.0,41.631115129784135
503.0,43.18096580410249
504.0,39.80569611089751
505.0,40.17442737614621
506.0,38.800234758180395
507.0,38.1161991694362
508.0,35.96089204689183
509.0,33.82728336151986
510.0,34.761148455
511.0,33.174400534189104
512.0,32.90494304056378
513.0,32.30198705430159
514.0,30.60032403253948
515.0,31.172903065
516.0,30.129581800063388
517.0,29.37130147385008
518.0,27.56643707678986
519.0,27.534191151076534
520.0,26.89918804
521.0,26.113195225728944
522.0,24.85350057054101
523.0,24.25999369962782
524.0,23.89995846537218
525.0,22.401754324739812
526.0,23.326914021576513
527.0,21.786809909144672
528.0,22.368034613634855
529.0,21.17616494524767
530.0,20.28108215
531.0,19.417929030414797
532.0,19.814087559397887
533.0,19.0304428755709
534.0,17.994411784429104
535.0,17.923386292977263
536.0,18.47712845578591
537.0,17.592996484209117
538.0,16.403528212323636
539.0,16.937333918067203
540.0,16.550922395
541.0,14.921334509670341
542.0,15.920196672701383
543.0,16.07824310666396
544.0,14.282045334359772
545.0,14.12531805
546.0,13.396384010013502
547.0,13.531090686990504
548.0,12.800844681085927
549.0,12.607258701189044
550.0,12.094885825
551.0,12.115672256043721
552.0,11.795125735737049
553.0,12.614328820912839
554.0,11.4214695489825
555.0,10.560708524999999
556.0,10.620345687328761
557.0,9.713534157329157
558.0,10.100423193935722
559.0,9.596969277904186
560.0,10.1415944075
561.0,9.373028011465406
562.0,9.24222767389648
563.0,8.738905745598853
564.0,8.902756299709289
565.0,9.007481575
566.0,9.946346171216064
567.0,12.611294551215313
568.0,18.193114179934128
569.0,26.048834962691856
570.0,42.101207735
571.0,68.49800051690298
572.0,102.66367801219212
573.0,139.91548425429485
574.0,181.3845069640679
575.0,207.11496735
576.0,235.23830028628237
577.0,253.47471853371422
578.0,258.75201179059593
579.0,259.91020142242854
580.0,253.3888397
581.0,231.17506088320118
582.0,197.9496198678684
583.0,155.495970830422
584.0,110.53669399236861
585.0,71.6254940886255
586.0,44.196679393944976
587.0,29.514110124094977
588.0,18.53018415439535
589.0,16.394634842266335
590.0,14.94534826
591.0,14.027633324158078
592.0,12.646732588179548
593.0,12.89137044772454
594.0,13.018083830620075
595.0,13.985349655
596.0,12.47680223017134
597.0,12.640138028820978
598.0,12.399939789867423
599.0,12.288588211813746
600.0,11.59032774
601.0,12.28530360063024
602.0,12.411823049336144
603.0,11.128787038421876
604.0,10.96493934643706
605.0,11.498683941945965
606.0,12.063509314912515
607.0,10.596260039875872
608.0,11.728195008154646
609.0,11.764746487302515
610.0,11.39185667
611.0,11.558818871752887
612.0,10.987822036847714
613.0,11.319346641051244
614.0,10.17631467565347
615.0,10.04691776448432
616.0,10.098387189973657
617.0,9.846997760809607
618.0,10.28633676870705
619.0,10.178997111775335
620.0,10.825986386
621.0,9.787598096104235
622.0,9.791724308274414
623.0,9.564002663685638
624.0,11.179734410995016
625.0,10.535368652089794
626.0,10.323603926422937
627.0,10.976436851214935
628.0,11.150207206407176
629.0,10.749644962690798
630.0,12.608580585
631.0,11.685597575330224
632.0,14.15242196824057
633.0,15.696239004263216
634.0,17.053944625408263
