SetCrun1,,
Time (sec),Abs,
116.75,0.07226452976,
117.25,0.07208520174,
117.75,0.0717067644,
118.25,0.07133027166,
118.75,0.07119575888,
119.25,0.07082217187,
119.75,0.07045061886,
120.25,0.07018321007,
120.75,0.06977438182,
121.25,0.06978721172,
121.75,0.06933769584,
122.25,0.06912639737,
122.75,0.06893998384,
123.25,0.0687770322,
123.75,0.06843157858,
124.25,0.06807983667,
124.75,0.06790585816,
125.25,0.06781920791,
125.75,0.06752151251,
126.25,0.06724375486,
126.75,0.06685692072,
127.25,0.06670386344,
127.75,0.06647184491,
128.25,0.06621543318,
128.75,0.06618751585,
129.25,0.06587678194,
129.75,0.06586385518,
130.25,0.06574409455,
130.75,0.06596460193,
131.25,0.06649266183,
131.75,0.06727050245,
132.25,0.06773170829,
132.75,0.06804229319,
133.25,0.06803720444,
133.75,0.06787420064,
134.25,0.0673840344,
134.75,0.0671204403,
135.25,0.06552749127,
135.75,0.06419857591,
136.25,0.06350515038,
136.75,0.06334033608,
137.25,0.06316524744,
137.75,0.06305652112,
138.25,0.0627714023,
138.75,0.06263460964,
139.25,0.06254210323,
139.75,0.06239492446,
140.25,0.06224600226,
140.75,0.0619976595,
141.25,0.06198482215,
141.75,0.06189128757,
142.25,0.06165669486,
142.75,0.06149848178,
143.25,0.06142866984,
143.75,0.06136444584,
144.25,0.06128577143,
144.75,0.06110644713,
145.25,0.06103860214,
145.75,0.06093884259,
146.25,0.0606324859,
146.75,0.0606180802,
147.25,0.06064165384,
147.75,0.06040862575,
148.25,0.06039892882,
148.75,0.06020926684,
149.25,0.06010484695,
149.75,0.05989623442,
150.25,0.0598522611,
150.75,0.05991147831,
151.25,0.05971629545,
151.75,0.05969413742,
152.25,0.05961766466,
152.75,0.05954717472,
153.25,0.05932096764,
153.75,0.0593139939,
154.25,0.05927076191,
154.75,0.05910463259,
155.25,0.05915888399,
155.75,0.05897415057,
156.25,0.05890405923,
156.75,0.05887177587,
157.25,0.05878486857,
157.75,0.05866906047,
158.25,0.05860115215,
158.75,0.05840329826,
159.25,0.05841289461,
159.75,0.05840815604,
160.25,0.05830340087,
160.75,0.05837605894,
161.25,0.05825375393,
161.75,0.05812876299,
162.25,0.05814580992,
162.75,0.05814714357,
163.25,0.05800880864,
163.75,0.05792222172,
164.25,0.05797064677,
164.75,0.05774239078,
165.25,0.05784257501,
165.75,0.05779656023,
166.25,0.05761130899,
166.75,0.05770061165,
167.25,0.05753750727,
167.75,0.05747196451,
168.25,0.05766345188,
168.75,0.05761934817,
169.25,0.05748124421,
169.75,0.05747959018,
170.25,0.05752533302,
170.75,0.05728248134,
171.25,0.05734693259,
171.75,0.05735003576,
172.25,0.05712588131,
172.75,0.05718865618,
173.25,0.05700791627,
173.75,0.05722495168,
174.25,0.0569788143,
174.75,0.05685188994,
175.25,0.05682866648,
175.75,0.05686327815,
176.25,0.05673614889,
176.75,0.05675461516,
177.25,0.05664548278,
177.75,0.05659431592,
178.25,0.05669214204,
178.75,0.05652103946,
179.25,0.05657538399,
179.75,0.05650700629,
180.25,0.05640356243,
180.75,0.0564667359,
181.25,0.05656084791,
181.75,0.05638705567,
182.25,0.05621619523,
182.75,0.05631355196,
183.25,0.05627995729,
183.75,0.05630037934,
184.25,0.05642552301,
184.75,0.05637789145,
185.25,0.05629666895,
185.75,0.05603468046,
186.25,0.05622412264,
186.75,0.05650199577,
187.25,0.0565918684,
187.75,0.0566762127,
188.25,0.05667910352,
188.75,0.05660805851,
189.25,0.05660156906,
189.75,0.05658856407,
190.25,0.05650565028,
190.75,0.05652319267,
191.25,0.05649583414,
191.75,0.05667783692,
192.25,0.0565456003,
192.75,0.0565113686,
193.25,0.05642449111,
193.75,0.05631811917,
194.25,0.05633998662,
194.75,0.05673078075,
195.25,0.05675989762,
195.75,0.05689898133,
196.25,0.05706660077,
196.75,0.05701075122,
197.25,0.05725749582,
197.75,0.05704823881,
198.25,0.05700948089,
198.75,0.05658670515,
199.25,0.05640754104,
199.75,0.05609732866,
200.25,0.05589322001,
200.75,0.05586195737,
201.25,0.05580687895,
201.75,0.05586310476,
202.25,0.05561835691,
202.75,0.05565063283,
203.25,0.05564401299,
203.75,0.05579021946,
204.25,0.05550971255,
204.75,0.05552282929,
205.25,0.05544361845,
205.75,0.05540697649,
206.25,0.05539000779,
206.75,0.05543565005,
207.25,0.05540074036,
207.75,0.05536460131,
208.25,0.05527530611,
208.75,0.05533584207,
209.25,0.05533410981,
209.75,0.05528918281,
210.25,0.0553410463,
210.75,0.05513186008,
211.25,0.05528512597,
211.75,0.05531828851,
212.25,0.05534340069,
212.75,0.05513250455,
213.25,0.05523153022,
213.75,0.0552889742,
214.25,0.05513462052,
214.75,0.05515531451,
215.25,0.0552334711,
215.75,0.05517162383,
216.25,0.0551805906,
216.75,0.05514129251,
217.25,0.05517518148,
217.75,0.05513177067,
218.25,0.0552059561,
218.75,0.05515807495,
219.25,0.05512198433,
219.75,0.05516924337,
220.25,0.05516489595,
220.75,0.0551424399,
221.25,0.05526383966,
221.75,0.0550942719,
222.25,0.05504425615,
222.75,0.05498035252,
223.25,0.05493599176,
223.75,0.05515878275,
224.25,0.0550417304,
224.75,0.05506623536,
225.25,0.05505695194,
225.75,0.05504275858,
226.25,0.05502521619,
226.75,0.05507422984,
227.25,0.05505254492,
227.75,0.05487154424,
228.25,0.05507040769,
228.75,0.0548831746,
229.25,0.05495914072,
229.75,0.05496284366,
230.25,0.05486898869,
230.75,0.05489665642,
231.25,0.05497682467,
231.75,0.05490238592,
232.25,0.05498290807,
232.75,0.05498443544,
233.25,0.05486525968,
