SetA.run3,,
Time (sec),Abs,
116.75,0.08285493404,
117.25,0.08238258958,
117.75,0.08186946809,
118.25,0.0812785998,
118.75,0.08088583499,
119.25,0.08032143116,
119.75,0.07974756509,
120.25,0.0794620961,
120.75,0.0789046362,
121.25,0.07840642333,
121.75,0.07793623209,
122.25,0.07755497843,
122.75,0.07717020065,
123.25,0.07650952041,
123.75,0.07616665959,
124.25,0.07603952289,
124.75,0.0756277293,
125.25,0.07496055961,
125.75,0.07458735257,
126.25,0.07433686405,
126.75,0.0738158226,
127.25,0.07337168604,
127.75,0.07318659872,
128.25,0.07287763804,
128.75,0.0722541064,
129.25,0.07196111977,
129.75,0.07172071934,
130.25,0.07120765001,
130.75,0.07099854201,
131.25,0.07058411092,
131.75,0.07037153095,
132.25,0.07005643845,
132.75,0.06960816681,
133.25,0.06933080405,
133.75,0.06909567863,
134.25,0.06890372932,
134.75,0.06851950288,
135.25,0.06802894175,
135.75,0.06785591692,
136.25,0.06763105839,
136.75,0.06711566448,
137.25,0.06690012664,
137.75,0.06671687216,
138.25,0.06642948836,
138.75,0.06614709646,
139.25,0.06557086855,
139.75,0.06557574123,
140.25,0.06530015916,
140.75,0.06513092667,
141.25,0.06475423276,
141.75,0.06459797919,
142.25,0.0643587932,
142.75,0.06420451403,
143.25,0.06391905993,
143.75,0.06354119629,
144.25,0.06329795718,
144.75,0.06314925849,
145.25,0.06276655942,
145.75,0.06258703768,
146.25,0.06240412965,
146.75,0.06226709485,
147.25,0.06194003671,
147.75,0.06180655211,
148.25,0.06164422631,
148.75,0.06133743376,
149.25,0.06113972887,
149.75,0.06088097021,
150.25,0.06073220819,
150.75,0.06065272912,
151.25,0.06028985605,
151.75,0.06020198017,
152.25,0.06015446782,
152.75,0.05986978859,
153.25,0.05959611014,
153.75,0.05932155997,
154.25,0.05937699601,
154.75,0.0591416806,
155.25,0.05892252922,
155.75,0.05891153216,
156.25,0.05879619345,
156.75,0.05846403912,
157.25,0.05840780213,
157.75,0.0582649447,
158.25,0.05803659186,
158.75,0.05779114738,
159.25,0.05765000358,
159.75,0.0575149022,
160.25,0.05731355399,
160.75,0.05743015558,
161.25,0.05704856291,
161.75,0.05681772158,
162.25,0.0567124337,
162.75,0.05664421245,
163.25,0.05658682436,
163.75,0.0563313812,
164.25,0.05612539873,
164.75,0.05612875894,
165.25,0.05592728779,
165.75,0.05583089963,
166.25,0.05575545877,
166.75,0.05567850173,
167.25,0.05556501448,
167.75,0.05529288575,
168.25,0.05529250577,
168.75,0.05509080365,
169.25,0.05501305312,
169.75,0.05479315668,
170.25,0.05498082191,
170.75,0.05472097918,
171.25,0.05439034104,
171.75,0.05460888892,
172.25,0.0544065088,
172.75,0.05439996719,
173.25,0.05413850397,
173.75,0.05406186357,
174.25,0.05399056897,
174.75,0.05385361239,
175.25,0.05394563451,
175.75,0.05361957103,
176.25,0.05374470353,
176.75,0.05347025767,
177.25,0.05342607945,
177.75,0.05324804038,
178.25,0.05342324078,
178.75,0.05304544419,
179.25,0.05298814923,
179.75,0.05290305242,
180.25,0.05289240927,
180.75,0.05283189192,
181.25,0.05277366191,
181.75,0.05256646499,
182.25,0.052697815,
182.75,0.05237881839,
183.25,0.05230017751,
183.75,0.05237878859,
184.25,0.0523352176,
184.75,0.05211798474,
185.25,0.05204271898,
185.75,0.05199962109,
186.25,0.05200245231,
186.75,0.05190637708,
187.25,0.05181767419,
187.75,0.05163740367,
188.25,0.051593557,
188.75,0.05149684474,
189.25,0.0515492782,
189.75,0.05148894712,
190.25,0.05138197169,
190.75,0.05138299242,
191.25,0.05134735629,
191.75,0.05114078149,
192.25,0.05109768733,
192.75,0.05113941431,
193.25,0.05105194449,
193.75,0.05094851181,
