SetB.run1,,
Time (sec),Abs,
116.75,0.07423274219,
117.25,0.0740583986,
117.75,0.07375151664,
118.25,0.07336650789,
118.75,0.07296848297,
119.25,0.07270377129,
119.75,0.07243409008,
120.25,0.07195857912,
120.75,0.0718132779,
121.25,0.07149638236,
121.75,0.0712582171,
122.25,0.07102049142,
122.75,0.07070264965,
123.25,0.07030913234,
123.75,0.07026640326,
124.25,0.0699390471,
124.75,0.06961604208,
125.25,0.06953992695,
125.75,0.06921931356,
126.25,0.06902399659,
126.75,0.06893379241,
127.25,0.06848419458,
127.75,0.06836746633,
128.25,0.06807719916,
128.75,0.06789868325,
129.25,0.06767065823,
129.75,0.06755109131,
130.25,0.06747745723,
130.75,0.06706817448,
131.25,0.0669907555,
131.75,0.06670510024,
132.25,0.06665590405,
132.75,0.06640391052,
133.25,0.06612794846,
133.75,0.06604678184,
134.25,0.06572987884,
134.75,0.0657260865,
135.25,0.06535648555,
135.75,0.06524850428,
136.25,0.06504449993,
136.75,0.06498722732,
137.25,0.0648631677,
137.75,0.06476639956,
138.25,0.06444118172,
138.75,0.06442136317,
139.25,0.06413057446,
139.75,0.06420199573,
140.25,0.0640508011,
140.75,0.06397649646,
141.25,0.06362313032,
141.75,0.0635830909,
142.25,0.06328801066,
142.75,0.06327025592,
143.25,0.06305466592,
143.75,0.06294127554,
144.25,0.06302341819,
144.75,0.06294804066,
145.25,0.06285016984,
145.75,0.06279883534,
146.25,0.0624415502,
146.75,0.06253403425,
147.25,0.06228071824,
147.75,0.06215608865,
148.25,0.06205269322,
148.75,0.06203940511,
149.25,0.06205717102,
149.75,0.06161773205,
150.25,0.06162692234,
150.75,0.06151762977,
151.25,0.06146758422,
151.75,0.06118717417,
152.25,0.06104754284,
152.75,0.06101116538,
153.25,0.06101211905,
153.75,0.0609022975,
154.25,0.06094843149,
154.75,0.06066900864,
155.25,0.06069002673,
155.75,0.06051740423,
156.25,0.06052356213,
156.75,0.0604348667,
157.25,0.06014394015,
157.75,0.06017575413,
158.25,0.06023959816,
158.75,0.06020899862,
159.25,0.06005374715,
159.75,0.06009084359,
160.25,0.0597907044,
160.75,0.05999406427,
161.25,0.05975072086,
161.75,0.05958767608,
162.25,0.05940296501,
162.75,0.05963931605,
163.25,0.05949391425,
163.75,0.05933049321,
164.25,0.05930998921,
164.75,0.0593467243,
165.25,0.05933215469,
165.75,0.05915025249,
166.25,0.05919824913,
166.75,0.05915936083,
167.25,0.05904469639,
167.75,0.05915446579,
168.25,0.05896309018,
168.75,0.05898704752,
169.25,0.05887157097,
169.75,0.05856284872,
170.25,0.05869472027,
170.75,0.05866194889,
171.25,0.0588022396,
171.75,0.05862417072,
172.25,0.0586232841,
172.75,0.05852857605,
173.25,0.05848876759,
173.75,0.05842471123,
174.25,0.05843726546,
174.75,0.0584185794,
175.25,0.05845165998,
175.75,0.05829007924,
176.25,0.05829446018,
176.75,0.05819766223,
177.25,0.05812047794,
177.75,0.05813675374,
178.25,0.05814598873,
178.75,0.05802372098,
179.25,0.05788539723,
179.75,0.05769960955,
180.25,0.05799827725,
180.75,0.05791899934,
181.25,0.05786144361,
181.75,0.05780720338,
182.25,0.05784834176,
182.75,0.05789681524,
183.25,0.05784384534,
183.75,0.05759174377,
184.25,0.05769277737,
184.75,0.0576206781,
185.25,0.05771379918,
185.75,0.0575616844,
186.25,0.05761946738,
186.75,0.05741420016,
187.25,0.0575664714,
187.75,0.05751023069,
188.25,0.05741174892,
188.75,0.05744628981,
189.25,0.05733204633,
189.75,0.05740495399,
190.25,0.05722568929,
190.75,0.05727796257,
191.25,0.05725492537,
191.75,0.05709228292,
192.25,0.05706164241,
192.75,0.05715375394,
193.25,0.05723197758,
193.75,0.05719343945,
194.25,0.05726437643,
194.75,0.05730011687,
195.25,0.05708673596,
195.75,0.05711569637,
196.25,0.0571953021,
196.75,0.05707200244,
197.25,0.05712071434,
197.75,0.05701559037,
198.25,0.05693595856,
198.75,0.0571769923,
199.25,0.05691196769,
199.75,0.05685481057,
200.25,0.05684144422,
200.75,0.05695334449,
201.25,0.0569941923,
201.75,0.05684005469,
202.25,0.05687283725,
202.75,0.05708393082,
203.25,0.05688390508,
203.75,0.05672204867,
204.25,0.05686248094,
204.75,0.05666680634,
205.25,0.0567368269,
205.75,0.05676181614,
206.25,0.05678482354,
206.75,0.05687871203,
207.25,0.05681547895,
207.75,0.0567891635,
208.25,0.05668503046,
208.75,0.05653206632,
209.25,0.05671045929,
209.75,0.05657821521,
210.25,0.05661607906,
210.75,0.05662424862,
211.25,0.05655586347,
211.75,0.05665533245,
212.25,0.05669225752,
212.75,0.056543421,
213.25,0.05663527548,
213.75,0.05649907514,
214.25,0.05644739792,
214.75,0.05658537894,
215.25,0.05659015849,
215.75,0.05656373501,
216.25,0.05645609275,
216.75,0.0563291423,
217.25,0.05642614141,
217.75,0.05651163682,
218.25,0.05642393231,
218.75,0.05634918436,
219.25,0.05644763261,
219.75,0.05638646707,
220.25,0.05640671775,
220.75,0.05644828081,
221.25,0.05646986142,
221.75,0.05619937181,
222.25,0.05634034052,
222.75,0.05632112548,
223.25,0.05628211051,
223.75,0.05637618154,
224.25,0.05625452846,
224.75,0.05625249445,
225.25,0.05642962083,
225.75,0.05633462593,
226.25,0.05627241358,
226.75,0.05633211881,
227.25,0.05632218719,
227.75,0.05620423332,
228.25,0.05620517582,
228.75,0.05637570843,
229.25,0.05627501011,
229.75,0.05627707019,
230.25,0.05611747503,
230.75,0.05621578172,
231.25,0.05626009777,
231.75,0.05615586042,
232.25,0.05617745221,
232.75,0.05635787919,
233.25,0.05622223392,
233.75,0.05621905252,
234.25,0.0561552681,
234.75,0.05630438775,
235.25,0.056162633,
235.75,0.0561597757,
236.25,0.05633459613,
236.75,0.05620600283,
237.25,0.05623234063,
237.75,0.05608651787,
238.25,0.05619227141,
238.75,0.05624978617,
239.25,0.05588874593,
