SetCrun3,,
Time (sec),Abs,
0.25,0.9027564526,
0.75,0.8897604942,
1.25,0.8769338727,
1.75,0.8636047244,
2.25,0.8505391479,
2.75,0.8389781117,
3.25,0.8269876838,
3.75,0.8141132593,
4.25,0.8030107617,
4.75,0.7912662625,
5.25,0.7802956104,
5.75,0.7700316906,
6.25,0.7576085329,
6.75,0.7472341061,
7.25,0.7362180948,
7.75,0.7259862423,
8.25,0.7164343596,
8.75,0.7056912184,
9.25,0.6962211728,
9.75,0.6865189075,
10.25,0.6770318747,
10.75,0.667791605,
11.25,0.6584869027,
11.75,0.6489129663,
12.25,0.6404009461,
12.75,0.6314633489,
13.25,0.6226311326,
13.75,0.6139771938,
14.25,0.6054347754,
14.75,0.5970611572,
15.25,0.5890591145,
15.75,0.5807983279,
16.25,0.5729597807,
16.75,0.5650587678,
17.25,0.5577266812,
17.75,0.5500285625,
18.25,0.5425161719,
18.75,0.5352149606,
19.25,0.5278753638,
19.75,0.5209673643,
20.25,0.5136678815,
20.75,0.5068451762,
21.25,0.5000124574,
21.75,0.4934358895,
22.25,0.48718822,
22.75,0.480838716,
23.25,0.4748353362,
23.75,0.4682665467,
24.25,0.4620859027,
24.75,0.4556384683,
25.25,0.4496892095,
25.75,0.4438011348,
26.25,0.4378476739,
26.75,0.4323047698,
27.25,0.4267728031,
27.75,0.4211220443,
28.25,0.4160166383,
28.75,0.4108407497,
29.25,0.4051974118,
29.75,0.3999235928,
30.25,0.3949906826,
30.75,0.3898440003,
31.25,0.3846192658,
31.75,0.3799274862,
32.25,0.3750855625,
32.75,0.3702658415,
33.25,0.3652726412,
33.75,0.3610137999,
34.25,0.3568329811,
34.75,0.3521082401,
35.25,0.3478825092,
35.75,0.3432098925,
36.25,0.339371562,
36.75,0.334905535,
37.25,0.3308578134,
37.75,0.326752156,
38.25,0.322740227,
38.75,0.3187115788,
39.25,0.3149929047,
39.75,0.3110494018,
40.25,0.3070541024,
40.75,0.3035996854,
41.25,0.2998488843,
41.75,0.29621768,
42.25,0.2928201854,
42.75,0.2893253863,
