SetB.run3,,
Time (sec),Abs,
0.25,1.105480671,
0.75,1.101473689,
1.25,1.098379493,
1.75,1.093607783,
2.25,1.091482639,
2.75,1.08835721,
3.25,1.084652662,
3.75,1.081388474,
4.25,1.077861547,
4.75,1.07408154,
5.25,1.07132709,
5.75,1.066637874,
6.25,1.065354586,
6.75,1.061231017,
7.25,1.057866335,
7.75,1.054531932,
8.25,1.051680684,
8.75,1.048611641,
9.25,1.044386029,
9.75,1.041089654,
10.25,1.038301468,
10.75,1.035688519,
11.25,1.031677127,
11.75,1.027854323,
12.25,1.025168538,
12.75,1.021245003,
13.25,1.017726779,
13.75,1.015086412,
14.25,1.011937618,
14.75,1.008948088,
15.25,1.005268097,
15.75,1.001816154,
16.25,0.9987409115,
16.75,0.9946740866,
17.25,0.9909452796,
17.75,0.9876652956,
18.25,0.9845684767,
18.75,0.9822946191,
19.25,0.9780083299,
19.75,0.9744263887,
20.25,0.9716258049,
20.75,0.9688677788,
21.25,0.9652076364,
21.75,0.9611034989,
22.25,0.9590386748,
22.75,0.9558320642,
23.25,0.9527118206,
23.75,0.9483519793,
24.25,0.9458373785,
24.75,0.9427219629,
25.25,0.9390322566,
25.75,0.9360389113,
26.25,0.9315943718,
26.75,0.9285325408,
27.25,0.9250438213,
27.75,0.9219177961,
28.25,0.9195414186,
28.75,0.9161175489,
29.25,0.913117826,
29.75,0.910046041,
30.25,0.9060175419,
30.75,0.9029111266,
31.25,0.8988086581,
31.75,0.8954917789,
32.25,0.8924077153,
32.75,0.8889885545,
33.25,0.8851740956,
33.75,0.8823981285,
34.25,0.879627049,
34.75,0.8764289618,
35.25,0.8732724786,
35.75,0.8698744774,
36.25,0.8667035103,
36.75,0.8637784123,
37.25,0.860170126,
37.75,0.8576812148,
38.25,0.8545879126,
38.75,0.8506395817,
39.25,0.8468229771,
39.75,0.8436429501,
40.25,0.8405254483,
40.75,0.8374147415,
41.25,0.8342725635,
41.75,0.8304127455,
42.25,0.8272057772,
42.75,0.8241410255,
43.25,0.8210780025,
43.75,0.8179089427,
44.25,0.8149114847,
44.75,0.8108993173,
45.25,0.808409512,
45.75,0.8048359156,
46.25,0.8027457595,
46.75,0.7994392514,
47.25,0.7961429954,
47.75,0.7927412987,
48.25,0.7899158001,
48.75,0.7869939208,
49.25,0.7837250829,
49.75,0.7806393504,
50.25,0.777802527,
50.75,0.7742444873,
51.25,0.7714722753,
51.75,0.7683239579,
52.25,0.7653316855,
52.75,0.7617532611,
53.25,0.7586431503,
53.75,0.7559525371,
54.25,0.7525612116,
54.75,0.7499108315,
55.25,0.7467155457,
55.75,0.7435920238,
56.25,0.7404955626,
56.75,0.7374232411,
57.25,0.7344995141,
57.75,0.7310426831,
58.25,0.7282312512,
58.75,0.7252988219,
59.25,0.7220427394,
59.75,0.7190030813,
60.25,0.7160400748,
60.75,0.7131589651,
61.25,0.7098855972,
61.75,0.7069721818,
62.25,0.7041772008,
62.75,0.7010558844,
63.25,0.6978835464,
63.75,0.694791317,
64.25,0.6914125681,
64.75,0.6887940764,
65.25,0.6857447624,
65.75,0.6826848984,
66.25,0.6795148253,
66.75,0.6766960025,
67.25,0.6739360094,
67.75,0.6706897616,
68.25,0.6681591868,
68.75,0.6650518775,
69.25,0.6617493629,
69.75,0.6584963202,
70.25,0.6557478309,
70.75,0.6531735063,
71.25,0.6502139568,
71.75,0.6466616988,
72.25,0.6445661187,
72.75,0.6413360238,
73.25,0.6385099888,
73.75,0.6357973218,
74.25,0.6329225898,
74.75,0.6297841072,
75.25,0.6271081567,
75.75,0.6239510775,
76.25,0.6215373874,
76.75,0.6183887124,
77.25,0.6155009866,
77.75,0.612742424,
78.25,0.6096850634,
78.75,0.6068736911,
79.25,0.6039277315,
79.75,0.6010957956,
80.25,0.5988445878,
80.75,0.5958937407,
81.25,0.592633307,
81.75,0.5903414488,
82.25,0.5873462558,
82.75,0.5842521191,
83.25,0.5817486048,
83.75,0.578692019,
84.25,0.5758870244,
84.75,0.5731892586,
85.25,0.5706735849,
85.75,0.5676623583,
86.25,0.5649346709,
86.75,0.562143147,
87.25,0.5596328378,
87.75,0.556722343,
88.25,0.5544416308,
88.75,0.5520929098,
89.25,0.5488157272,
89.75,0.546426475,
90.25,0.5435519218,
90.75,0.5410198569,
91.25,0.5382811427,
91.75,0.5355576277,
92.25,0.5330917835,
92.75,0.5302437544,
93.25,0.527613759,
93.75,0.5258162022,
94.25,0.5247513652,
94.75,0.5241979957,
95.25,0.5222468972,
95.75,0.5201914907,
96.25,0.5174884796,
96.75,0.5125699043,
97.25,0.5075241923,
97.75,0.5042853951,
98.25,0.5018862486,
98.75,0.4994693398,
99.25,0.4967413247,
99.75,0.4944558144,
100.25,0.4918928146,
100.75,0.48945871,
101.25,0.4872353077,
101.75,0.4844994843,
102.25,0.48189044,
102.75,0.4798547626,
103.25,0.4771412909,
103.75,0.4747093618,
104.25,0.472291708,
104.75,0.4698071182,
105.25,0.4673356712,
105.75,0.4652540982,
106.25,0.4624601603,
106.75,0.4601589739,
107.25,0.4577945769,
107.75,0.4556137919,
108.25,0.4532692432,
108.75,0.4508914351,
109.25,0.4483966231,
109.75,0.4459067881,
110.25,0.4438978136,
110.75,0.4418138266,
111.25,0.4391544759,
111.75,0.4369554818,
112.25,0.4343996942,
112.75,0.4322063029,
113.25,0.4299226701,
113.75,0.4277639389,
114.25,0.4257948101,
114.75,0.4230613112,
115.25,0.4210643768,
115.75,0.418780297,
116.25,0.4166104198,
116.75,0.4142486155,
117.25,0.412204206,
117.75,0.4100135267,
118.25,0.4079357684,
118.75,0.4058074057,
119.25,0.4030719697,
119.75,0.4015102386,
120.25,0.3990969062,
120.75,0.3970053792,
121.25,0.3952787519,
121.75,0.3930752873,
122.25,0.3906483948,
122.75,0.3887509406,
123.25,0.3860982656,
123.75,0.3841523826,
124.25,0.382463783,
124.75,0.3802975118,
125.25,0.3783140481,
125.75,0.3760260046,
126.25,0.3740799427,
126.75,0.3720866144,
127.25,0.3699136376,
127.75,0.3677971363,
128.25,0.3660705984,
128.75,0.363985002,
129.25,0.3620096445,
129.75,0.359944731,
130.25,0.3579034507,
130.75,0.3559686542,
131.25,0.3541267216,
131.75,0.3520630598,
132.25,0.3500869572,
132.75,0.3481884003,
133.25,0.3464528322,
133.75,0.3444582224,
134.25,0.3426448405,
134.75,0.3405649364,
135.25,0.3387227058,
135.75,0.3366337121,
136.25,0.3351249695,
136.75,0.3331719935,
137.25,0.3312395215,
137.75,0.3292655945,
138.25,0.3277499378,
138.75,0.325643152,
139.25,0.3240233064,
139.75,0.3221802413,
140.25,0.3202154934,
140.75,0.3185403645,
141.25,0.3167024553,
141.75,0.3150114715,
142.25,0.3132144809,
142.75,0.3114615083,
143.25,0.3096590936,
143.75,0.3078351319,
144.25,0.3061956167,
144.75,0.3044357598,
145.25,0.3027901947,
145.75,0.301050663,
146.25,0.2993561327,
146.75,0.2978123128,
147.25,0.2960780859,
147.75,0.2943582833,
148.25,0.2928118408,
148.75,0.2911608517,
149.25,0.2893398106,
149.75,0.2877439559,
150.25,0.2861476243,
150.75,0.2845904231,
151.25,0.282951206,
151.75,0.2811432779,
152.25,0.2797996998,
152.75,0.2782330811,
153.25,0.2768613994,
153.75,0.2750944495,
154.25,0.2737976313,
154.75,0.2721719742,
155.25,0.2706509829,
155.75,0.2691635191,
156.25,0.2675346732,
156.75,0.2660019696,
157.25,0.2642790377,
157.75,0.2630726397,
158.25,0.261488229,
158.75,0.2601132989,
159.25,0.2586278319,
159.75,0.2571698725,
160.25,0.2555860877,
160.75,0.2543325722,
161.25,0.2528584301,
161.75,0.2515325844,
162.25,0.2501464486,
162.75,0.248486504,
163.25,0.2472224534,
163.75,0.2458217591,
164.25,0.2442936301,
164.75,0.2429391891,
165.25,0.241792962,
165.75,0.240438506,
166.25,0.2389027774,
166.75,0.2376769185,
167.25,0.2360732853,
167.75,0.2349146456,
168.25,0.233591333,
168.75,0.2323140949,
169.25,0.230860427,
169.75,0.2297882587,
170.25,0.2285187691,
170.75,0.2272330821,
171.25,0.2260897309,
171.75,0.2245254219,
172.25,0.2234033346,
172.75,0.2219744772,
173.25,0.2207130939,
173.75,0.219583109,
174.25,0.2182543278,
174.75,0.2171644419,
175.25,0.2158340365,
175.75,0.2148019373,
176.25,0.2135002017,
176.75,0.2123397589,
177.25,0.2110246718,
177.75,0.2099725306,
178.25,0.2087818086,
178.75,0.20774436,
179.25,0.2065296173,
179.75,0.2054893672,
180.25,0.2042313665,
180.75,0.2032051235,
181.25,0.2018363476,
181.75,0.2008269578,
182.25,0.199911505,
182.75,0.1986354589,
183.25,0.1976902336,
183.75,0.1965089142,
184.25,0.1955843419,
184.75,0.1941274554,
185.25,0.1932837218,
185.75,0.1923341006,
186.25,0.1912971437,
186.75,0.1902328134,
187.25,0.1890256256,
187.75,0.1882698238,
188.25,0.1872099787,
188.75,0.1860324293,
189.25,0.1848800182,
189.75,0.1842126846,
190.25,0.1832724214,
190.75,0.1821338683,
191.25,0.1812835783,
191.75,0.1802474409,
192.25,0.1792607754,
192.75,0.1782091558,
193.25,0.1773989499,
193.75,0.1763634384,
194.25,0.1753513366,
194.75,0.1745018959,
195.25,0.1736360192,
195.75,0.1725112647,
196.25,0.1716846973,
196.75,0.1706950366,
197.25,0.1697885096,
197.75,0.1691442728,
198.25,0.1680717319,
198.75,0.1673311591,
199.25,0.1662233472,
199.75,0.1655255407,
200.25,0.1645025015,
200.75,0.1636541188,
201.25,0.1628645957,
201.75,0.1621301323,
202.25,0.1612419337,
202.75,0.1604470462,
203.25,0.1595819443,
203.75,0.1584910154,
204.25,0.1578445286,
204.75,0.1570258886,
205.25,0.1561050713,
205.75,0.1553687155,
206.25,0.1547449827,
206.75,0.1538180262,
207.25,0.1531143039,
207.75,0.1522751451,
208.25,0.1516046226,
208.75,0.1507117897,
209.25,0.1499582976,
209.75,0.1491764039,
210.25,0.1484726071,
210.75,0.1477473229,
211.25,0.1470363587,
211.75,0.1462898999,
212.25,0.145573616,
212.75,0.1447328478,
213.25,0.1438760608,
213.75,0.1432869285,
214.25,0.1425101906,
214.75,0.1418046504,
215.25,0.1413776278,
215.75,0.1404687613,
216.25,0.1396971494,
216.75,0.1390342116,
217.25,0.1383731365,
217.75,0.1377480328,
218.25,0.1370774806,
