1:2 F,,
Wavelength (nm),Intensity (a.u.),
350,0.3743636012,
352,0.1872448772,
354,0.2589379847,
356,0.3013579845,
358,0.3143491149,
360,0.5468809009,
362,0.4934897423,
364,0.8784882426,
366,0.8517099023,
368,0.7310900688,
370,0.4451203644,
371.9599915,0.1501191556,
373.9299927,0.1707229167,
376.0599976,0.1706840694,
378.0299988,0.3053202033,
380,0.1741351336,
382,0.1143554151,
384,0,
386,0.2091652453,
388,0.213227883,
390,0.2449548692,
392,0.192100808,
394,0.1918538958,
396,0.2894132733,
398,0.3465403914,
400,0.2531202137,
401.9599915,0.3618082702,
403.9299927,0.2683431804,
406.0599976,0.3145148456,
408.0299988,0.3001763523,
410,0.2692514658,
412,0.3057987094,
414,0.2310625017,
416,0.2577421963,
418,0.250153929,
420,0.3651528955,
421.9599915,0.1514463127,
423.9299927,0.3212335408,
426.0599976,0.1735508591,
428.0299988,0.390632242,
430,0.1136299074,
431.9599915,0.4174889922,
433.9299927,0.2487847805,
436.0599976,0.2625508606,
438.0299988,0.1941031516,
440,0.2084636241,
442,0.2500769198,
444,0.2493000329,
446,0.2175202668,
448,0.2765923738,
450,0.1797232181,
451.9400024,0.3177187741,
454.019989,0.2898606658,
455.9700012,0.2576808631,
458.0499878,0.3444316983,
460,0.3117996752,
461.9599915,0.272729069,
463.9299927,0.453881681,
466.0599976,0.3499154449,
468.0299988,0.4425629973,
470,0.5268806815,
471.9599915,0.7000813484,
473.9299927,0.8593151569,
476.0599976,1.221201539,
478.0299988,1.894357324,
480,2.745953798,
481.9599915,4.255085945,
483.9299927,6.824275017,
486.0599976,10.0802269,
488.0299988,15.39228344,
490,22.56970787,
491.9400024,32.98816299,
494.019989,46.50717163,
495.9700012,62.90888977,
498.0499878,84.48288727,
500,108.5528793,
501.9400024,131.5892181,
504.019989,158.5951538,
505.9700012,181.3060913,
508.0499878,203.5621338,
510,218.5142059,
511.9599915,226.354599,
513.9299927,229.0476379,
516.0599976,227.0009613,
518.0300293,220.6343994,
520,210.4773407,
522.0499878,200.5696869,
523.9699707,186.8152618,
526.0200195,175.1285248,
527.9400024,159.8710938,
530,148.6647644,
531.9400024,137.0778809,
534.0200195,125.4898148,
535.9699707,115.1886597,
538.0499878,107.8536148,
540,100.0248184,
541.9400024,92.77742767,
544.0200195,87.89104462,
545.9699707,82.21342468,
548.0499878,77.27093506,
550,73.05994415,
551.9400024,69.69804382,
554.0200195,66.28101349,
555.9699707,60.66004181,
558.0499878,57.75285339,
560,53.55479431,
562.0499878,49.56908417,
563.9699707,45.70810699,
566.0200195,42.09917068,
567.9400024,39.13183594,
570,35.88212585,
572.0499878,32.5002861,
573.9699707,30.15301514,
576.0200195,26.89088631,
577.9400024,24.99953651,
580,22.66422653,
582.0499878,20.97233582,
583.9699707,18.47711754,
