1:4 F,,
Wavelength (nm),Intensity (a.u.),
350,0.5038065314,
352,0.5571755171,
354,0.6031249762,
356,0.5236189365,
358,0.5827396512,
360,0.6732117534,
362,1.095086932,
364,1.185006976,
366,1.156932235,
368,0.8829607368,
370,0.5870323181,
371.9599915,0.6304929256,
373.9299927,0.4512211382,
376.0599976,0.4547435343,
378.0299988,0.5314706564,
380,0.4410946965,
382,0.5588257313,
384,0.4126960337,
386,0.4708363712,
388,0.6074296236,
390,0.35422647,
392,0.6590592861,
394,0.5048710704,
396,0.5835513473,
398,0.5079293847,
400,0.3813082576,
401.9599915,0.4326724112,
403.9299927,0.4987913966,
406.0599976,0.5827177167,
408.0299988,0.2265732586,
410,0.5206493139,
412,0.3617876172,
414,0.3014658988,
416,0.3103843033,
418,0.323366046,
420,0.4737181365,
421.9599915,0.3087074757,
423.9299927,0.2159318328,
426.0599976,0.3426809013,
428.0299988,0.4144999683,
430,0.3864734173,
431.9599915,0.3445767462,
433.9299927,0.2846677899,
436.0599976,0.3229176402,
438.0299988,0.548750639,
440,0.3495077789,
442,0.3252530396,
444,0.2281759232,
446,0.3403225541,
448,0.5341563225,
450,0.3384431601,
451.9400024,0.3075799346,
454.019989,0.4392078817,
455.9700012,0.4424098134,
458.0499878,0.3262955844,
460,0.5164795518,
461.9599915,0.3110964298,
463.9299927,0.5581968427,
466.0599976,0.5107452869,
468.0299988,0.6273033619,
470,0.5685802102,
471.9599915,1.046611547,
473.9299927,1.256824136,
476.0599976,2.000582695,
478.0299988,2.514555454,
480,3.752309084,
481.9599915,5.619605064,
483.9299927,8.573225021,
486.0599976,13.68747807,
488.0299988,19.59417343,
490,29.51677322,
491.9400024,41.59051895,
494.019989,59.55940247,
495.9700012,80.27378845,
498.0499878,111.2120972,
500,147.1306458,
501.9400024,183.336792,
504.019989,226.4803772,
505.9700012,269.1022339,
508.0499878,307.9106445,
510,333.3581543,
511.9599915,356.5325928,
513.9299927,365.3319702,
516.0599976,365.658905,
518.0300293,356.3945007,
520,346.0619507,
522.0499878,326.3245239,
523.9699707,308.3986816,
526.0200195,287.5506592,
527.9400024,268.6201172,
530,246.0292206,
531.9400024,226.5905609,
534.0200195,211.2895355,
535.9699707,193.0417633,
538.0499878,179.90271,
540,167.7112732,
541.9400024,155.9495087,
544.0200195,145.497345,
545.9699707,139.4217834,
548.0499878,131.5534058,
550,123.434433,
551.9400024,117.537056,
554.0200195,110.5619659,
555.9699707,104.5886002,
558.0499878,96.76873016,
560,89.70130157,
562.0499878,83.96279144,
563.9699707,78.45457458,
566.0200195,72.20249939,
567.9400024,66.3094101,
570,60.7129364,
572.0499878,56.72292709,
573.9699707,52.26343536,
576.0200195,47.0163765,
577.9400024,42.64735794,
580,39.66196823,
582.0499878,35.8368721,
583.9699707,32.34838104,
586.0200195,30.40873718,
587.9400024,27.679245,
590,25.41845131,
592.0499878,23.21415138,
593.9699707,21.62618446,
596.0200195,19.99475861,
597.9400024,18.41789627,
600,16.73623848,
602.0499878,15.72512436,
603.9699707,15.12816048,
606.0200195,14.13125706,
607.9400024,12.68184185,
610,11.98930836,
612.0200195,11.27319717,
614.0499878,10.01206017,
615.9400024,9.756855965,
617.9699707,8.477769852,
620,8.348137856,
622.0200195,7.271494389,
624.0499878,7.002295971,
625.9400024,6.50643301,
627.9699707,5.935003281,
630,5.516644001,
632.0200195,4.96387291,
634.0499878,4.548027992,
635.9400024,4.246086121,
637.9699707,4.425032139,
640,7.643016815,
642.0200195,15.37117958,
644.0499878,33.35811234,
645.9400024,55.06303024,
