cas,p,hasO,hasS,lambda
977-96-8,3,0,0,523
605-91-4,5,0,0,604
4727-49-5,7,0,0,590
14187-31-6,7,0,0,707
4727-50-8,9,0,0,706
18300-31-7,11,0,0,814
2197-01-5,3,0,1,424
905-97-5,5,0,1,557
514-73-8,7,0,1,651
3071-70-3,9,0,1,681
905-96-4,5,1,0,483
14806-50-9,7,1,0,579
