T1,,
Time (min),Abs,
0.3125,0.3015841246,
0.3141666651,0.3003688455,
0.3158333302,0.2990095317,
0.3174999952,0.2979699373,
0.3191666603,0.2965434492,
0.3208333552,0.2950091064,
0.3224999905,0.2935971916,
0.3241666555,0.2925964594,
0.3258333206,0.2913892865,
0.3275000155,0.2898940742,
0.3291666806,0.2884888351,
0.3308333158,0.2874218225,
0.3324999809,0.286270082,
0.3341666758,0.2849063575,
0.3358333409,0.2837075889,
0.337500006,0.2820919752,
0.3391666412,0.2810943723,
0.3408333361,0.2798841,
0.3425000012,0.2786482871,
0.3441666663,0.2772302628,
0.3458333313,0.2761432827,
0.3474999964,0.2746593952,
0.3491666615,0.2735334933,
0.3508333266,0.2719956636,
0.3524999917,0.2709816098,
0.3541666865,0.2696190476,
0.3558333218,0.2687059939,
0.3574999869,0.2674927711,
0.359166652,0.2661500275,
0.3608333468,0.2648149133,
0.3625000119,0.2638802528,
0.3641666472,0.2625723481,
0.3658333123,0.2612520456,
0.3675000072,0.2599029243,
0.3691666722,0.259031713,
0.3708333373,0.25792858,
0.3724999726,0.2566652,
0.3741666675,0.255394429,
0.3758333325,0.2542888224,
0.3774999976,0.2531113029,
0.3791666925,0.2516468465,
0.3808333278,0.2508813441,
0.3824999928,0.2494802773,
0.3841666579,0.2484629303,
0.3858333528,0.2471458912,
0.3875000179,0.2463110089,
0.3891666532,0.244873032,
0.3908333182,0.2437928021,
0.3925000131,0.2426906228,
0.3941666782,0.2414735407,
0.3958333433,0.2404109091,
0.3974999785,0.2396159172,
0.3991666734,0.238120392,
0.4008333385,0.2369423509,
0.4025000036,0.2360506356,
0.4041666687,0.2349528372,
0.4058333337,0.2335523218,
0.4074999988,0.2326264083,
0.4091666639,0.2316180021,
0.410833329,0.2304587662,
0.4125000238,0.2295264155,
0.4141666591,0.2282207906,
0.4158333242,0.2270266861,
0.4174999893,0.2261705548,
0.4191666842,0.2253144681,
0.4208333492,0.224152863,
0.4224999845,0.2227235734,
0.4241666496,0.2219272554,
0.4258333445,0.2208002806,
0.4275000095,0.2197080702,
0.4291666746,0.2190181166,
0.4308333099,0.2177020758,
0.4325000048,0.2169288546,
