Wavelength (nm),Corrected Intensity
290.0,-44.28625489999996
291.0,-16.736827526934064
292.0,9.814880399999993
293.0,17.432490064906133
294.0,20.457000735
295.0,21.368029785923305
296.0,22.488166810000003
297.0,24.97190371254266
298.0,26.989830496999996
299.0,27.55441966101786
300.0,30.081450941
301.0,30.861247725564006
302.0,29.135934357
303.0,29.780880727926636
304.0,32.21954726999999
305.0,31.16550637140051
306.0,33.135468960000004
307.0,32.87777231905185
308.0,33.810403822000005
309.0,33.920516358335036
310.0,34.97577238299999
311.0,33.65668847581543
312.0,33.56600666200001
313.0,30.462993535827827
314.0,25.359474185000003
315.0,17.567958262631898
316.0,12.847549440000009
317.0,8.497016709989595
318.0,2.848278045000015
319.0,2.0774720327419374
320.0,11.698066714999996
321.0,20.067430456724125
322.0,34.778713235
323.0,41.77747629016803
324.0,53.7471199
325.0,67.44878262230124
326.0,81.79643059
327.0,89.72126213741106
328.0,100.242532713
329.0,106.85713345918191
330.0,114.06570622800001
331.0,120.01330013226597
332.0,125.77106477599999
333.0,134.75067604781106
334.0,138.89803841
335.0,146.08230054166967
336.0,154.361876506
337.0,162.24733184354778
338.0,167.321273348
339.0,175.92201826160957
340.0,177.679055189
341.0,185.17169252334352
342.0,192.42162511299998
343.0,199.59330418014292
344.0,205.309169763
345.0,209.79562774324
346.0,214.36716033
347.0,223.06355194059938
348.0,230.80693530899998
349.0,234.25526799233782
350.0,238.21934125389998
351.0,241.03542694378274
352.0,244.23620749839998
353.0,249.58636991374058
354.0,251.469493417
355.0,254.69529346228944
356.0,259.817560658
357.0,259.2197584767439
358.0,260.1803750752
359.0,263.9451563551969
360.0,268.52900383360003
361.0,266.48200409831753
362.0,270.0185297958156
363.0,271.00974490799285
364.0,273.56532423436636
365.0,267.725821762
366.0,271.37286027293635
367.0,275.59075378324013
368.0,272.4537417293036
369.0,274.93000490068624
370.0,274.1483915116
371.0,269.64952530900484
372.0,270.22499154357996
373.0,266.0956269024041
374.0,267.1518843639
375.0,270.2026359601742
376.0,269.6473519656
377.0,264.8287158584444
378.0,268.20090150659996
379.0,263.1555765622748
380.0,262.3989081812
381.0,260.4031676104666
382.0,258.4402191065001
383.0,259.65905224446095
384.0,256.91139638781925
385.0,255.03980276999997
386.0,253.8570972733083
387.0,257.38353145347213
388.0,248.66242560026896
389.0,252.42342796080152
390.0,246.77752077399998
391.0,247.95146191907443
392.0,247.22922671199998
393.0,251.48031159525272
394.0,243.72768699
395.0,246.5590961990774
396.0,243.8740017215
397.0,240.52149327926782
398.0,238.30020273
399.0,237.67756111998483
400.0,235.33776857100003
401.0,235.75918209872876
402.0,236.3974189954471
403.0,231.40959534415046
404.0,228.17561927570551
405.0,227.65263364000003
406.0,226.33172843229005
407.0,227.93708529527987
408.0,226.05383634267923
409.0,226.1841951067838
410.0,219.56091546
411.0,217.80538240784966
412.0,219.89245237634796
413.0,215.56639902138483
414.0,216.53989767832493
415.0,210.94667406199997
416.0,209.97464060079213
417.0,211.33951606153016
418.0,208.80032570273536
419.0,201.31072644556065
420.0,201.87328122999998
421.0,195.4033486009071
422.0,193.2687860817918
423.0,190.5634091941762
424.0,188.73176546905202
425.0,184.190504587
426.0,187.39209658777443
427.0,181.4245107313138
428.0,178.38218035936208
429.0,172.46040257550402
430.0,169.159243575
431.0,163.67032536235484
432.0,164.78356102780867
433.0,162.78388765361763
434.0,160.61063661685787
435.0,155.731621255
436.0,156.81332611923747
437.0,149.97003687363392
438.0,148.82706042197793
439.0,150.11742978342195
440.0,147.35493135
441.0,145.55253863420512
442.0,143.24273206960697
443.0,143.32831192406215
444.0,141.97911279255325
445.0,136.32218839400002
446.0,137.1002869670534
447.0,135.91528813453115
448.0,135.96913890452123
449.0,130.98924962126256
450.0,128.775541526
451.0,126.99076838616509
452.0,128.35961302503216
453.0,124.53398141296941
454.0,126.57229703503059
455.0,124.78646415677083
456.0,121.3007267078576
457.0,116.24615708699083
458.0,117.48477124646193
459.0,115.63278015122071
460.0,111.974166894
461.0,110.40980705016635
462.0,108.79038560822364
463.0,106.94852593399523
464.0,106.99717711286534
465.0,101.01800393900001
466.0,100.35298058234332
467.0,98.05280896908275
468.0,97.53179551151099
469.0,93.09210559519082
470.0,94.11894178499999
471.0,89.55518118785102
472.0,86.12723112557644
473.0,86.85051564104847
474.0,84.13263650995152
475.0,83.32151648514872
476.0,82.2958271588675
477.0,79.09670222278513
478.0,79.43472353182263
479.0,76.26361523370304
480.0,73.505161285
481.0,73.2688708462292
482.0,71.27346110745366
483.0,69.400342331535
484.0,68.11148758887997
485.0,66.347635746
486.0,65.00406640867317
487.0,64.75253598513982
488.0,62.21455343492728
489.0,60.253153568993596
490.0,57.982603311999995
491.0,57.919268163296884
492.0,56.68665526938797
493.0,55.21651942358198
494.0,52.45060985241802
495.0,53.73115278035703
496.0,49.515605219728116
497.0,51.612692027471894
498.0,48.55431617405166
499.0,48.26718021274088
500.0,46.687391039000005
501.0,45.64766688866853
502.0,44.382186394219204
503.0,45.68094409891886
504.0,42.382415404081144
505.0,42.808361147303714
506.0,41.589374645119854
507.0,41.089457885777655
508.0,38.75359635336111
