Wavelength (nm),Corrected Intensity
290.0,275.7692972666667
291.0,302.4374096555576
292.0,278.8833567666667
293.0,214.8969288547566
294.0,163.4530207566667
295.0,134.04315504827346
296.0,125.99923737500002
297.0,131.88828521794468
298.0,140.165935037
299.0,149.0881141710428
300.0,155.987199651
301.0,168.93598274528372
302.0,180.2533910853333
303.0,188.93759136913835
304.0,193.27676774166667
305.0,202.39967581964595
306.0,209.99055560666665
307.0,218.06377889184122
308.0,224.8230470053333
309.0,231.70413981286225
310.0,236.07955822133331
311.0,243.98765778601242
312.0,250.20127900033333
313.0,247.5956835584455
314.0,245.73930485666668
315.0,239.50363289131334
316.0,235.98973848333333
317.0,234.0841117179832
318.0,228.43076833000003
319.0,236.47223556111152
320.0,247.10509998666663
321.0,257.480499509642
322.0,271.84724933999996
323.0,282.7716834505586
324.0,293.30249279
325.0,307.4521880646648
326.0,315.9365634966667
327.0,319.2059322262071
328.0,325.583893463
329.0,329.29860963207045
330.0,334.04787129466666
331.0,330.32457951120557
332.0,330.9437713426666
333.0,330.5264451356399
334.0,331.5023245766667
335.0,329.7131846577147
336.0,330.243147856
337.0,330.20315900888346
338.0,330.45130364799996
339.0,335.7233450720788
340.0,327.9215453223333
341.0,332.57479571978394
342.0,326.904634463
343.0,331.1366042870377
344.0,323.8327649296666
345.0,324.118856379697
346.0,322.84414499666667
347.0,324.30989973840224
348.0,318.05646482566664
349.0,315.40884830379804
350.0,313.47462082056666
351.0,312.92785158724774
352.0,311.36086414839997
353.0,304.6573072106108
354.0,301.2586423336666
355.0,299.4428326939879
356.0,298.86001567466667
357.0,299.2989531960275
358.0,290.23523044186663
359.0,285.8899636097307
360.0,286.15111485026665
361.0,280.67507356180823
362.0,273.7789422076677
363.0,272.02723048809963
364.0,265.06666291341367
365.0,259.268587012
366.0,255.82378501625325
367.0,249.25121882250704
368.0,245.7023981762366
369.0,244.56184295451132
370.0,236.74451167826666
371.0,232.13551202144185
372.0,227.34022082691337
373.0,223.00925139294773
374.0,220.47220193056668
375.0,213.6785111571485
376.0,216.01096383226667
377.0,206.09837972120482
378.0,202.83263063993334
379.0,196.02369168412736
380.0,195.32010666453334
381.0,189.90044442643
382.0,186.54312233940115
383.0,182.53853211068645
384.0,177.97403763467085
385.0,171.96689120333338
386.0,170.29578821718815
387.0,165.20590040864204
388.0,162.61782099990026
389.0,158.9884249291636
390.0,152.240688624
391.0,150.08807241754977
392.0,145.42243604533334
393.0,142.23180562440064
394.0,137.42167707333334
395.0,135.79943264845883
396.0,129.90694550483332
397.0,129.5183843023381
398.0,124.35158669666667
399.0,119.74458638180896
400.0,118.72421008766666
401.0,113.86597474323432
402.0,112.11958050535742
403.0,107.77232681403518
404.0,104.5428005080846
405.0,101.69765217
406.0,99.82074036378454
407.0,96.3190397675224
408.0,94.96754887239797
409.0,90.95468612183619
410.0,86.58803288
411.0,83.75851376410759
412.0,81.38476851681078
413.0,78.62034890958003
414.0,77.63398330404829
415.0,74.40199128866666
416.0,70.24041259641294
417.0,70.23435288897439
418.0,68.38389727681793
419.0,65.7179037565974
420.0,62.580793140000004
421.0,60.05065278968217
422.0,59.24095024771083
423.0,56.519014610137724
424.0,55.10988491502575
425.0,52.487928867
426.0,51.38732196027993
427.0,48.64786302878501
428.0,45.94450356229659
429.0,45.07882239936351
430.0,43.10669485499999
431.0,42.723263830879425
432.0,40.846026455845326
433.0,40.6321040604872
434.0,37.98364366445495
435.0,37.49293820166666
436.0,37.35782383914358
437.0,35.84240197285924
438.0,34.743263352963844
439.0,32.64261114373349
440.0,32.51803509333333
441.0,31.44864107489402
442.0,29.072166809372288
443.0,30.237872631192396
444.0,29.34054510273794
445.0,28.911008517333336
446.0,27.60456044298546
447.0,27.354431266863685
448.0,26.522943229663674
449.0,26.820413168990548
450.0,25.512267032666667
451.0,25.76436663954488
452.0,24.62226469903998
453.0,24.6059670778468
454.0,23.672706410153204
455.0,22.293371811006196
456.0,22.354159538733057
457.0,20.732584266823395
458.0,20.927454326080667
459.0,20.367409861497123
460.0,19.307857514000002
461.0,18.894087353891454
462.0,20.0404460358706
463.0,18.128411298350557
464.0,18.66052970073478
465.0,18.592788542333334
466.0,17.84120225698072
467.0,17.228997673872296
468.0,16.90140973311712
469.0,15.529810869881048
470.0,15.953414439999998
471.0,15.18970590813063
472.0,14.891000125639735
473.0,14.584292598332421
474.0,14.548694502667578
475.0,13.46205678720993
476.0,13.352736078258838
477.0,13.436893319843191
478.0,13.949493543827415
479.0,11.997122471524037
480.0,12.391040484666668
481.0,12.459910920473945
482.0,11.448345348988813
483.0,10.536733174629493
484.0,11.747519544973219
485.0,11.205431143333334
486.0,10.648559731234526
487.0,10.70119992204496
488.0,10.406884890113242
489.0,10.306386102633777
490.0,10.232482195
491.0,9.513498255605914
492.0,8.949586727108857
493.0,8.568157817549817
494.0,9.214960986783515
495.0,8.906719096725508
496.0,8.966062185146601
497.0,7.874528906479444
498.0,7.656842061782302
499.0,8.036316032676947
500.0,7.450272798333335
501.0,8.293528808260175
502.0,7.403876518540641
503.0,7.1729117914657055
504.0,7.470362912867628
505.0,7.353346962944752
506.0,6.942382370068052
507.0,7.264272070146825
508.0,6.642483220698797
509.0,7.462787327386094
510.0,7.024893442333333
511.0,6.3852867890589735
512.0,5.987661647593802
513.0,6.173088844014653
514.0,6.45631336480265
515.0,5.881946245666667
516.0,6.0206871563388
517.0,5.630837245969596
518.0,5.739233106066434
519.0,5.316534949714511
520.0,5.729150852
521.0,5.4305227422387095
522.0,5.58324500160264
523.0,5.028695930066199
524.0,4.784326127267134
525.0,4.941900142930118
526.0,4.545870039456586
527.0,4.916102749617815
528.0,4.551643864883956
529.0,4.769626601877753
530.0,4.760529199666667
531.0,4.714402635771405
532.0,4.471765746629493
533.0,4.649479799394993
534.0,4.604360010938342
535.0,4.299472247199673
536.0,4.240481030173099
537.0,4.430570976983741
538.0,3.3496353135507655
539.0,3.995742500388257
540.0,3.9975664618666666
541.0,3.56540637705129
542.0,4.153204128952227
543.0,3.8168825752398226
544.0,3.444524479531985
545.0,3.8460197446666666
546.0,3.637852515739505
547.0,3.708857855688047
548.0,3.5058836624448535
549.0,3.4069073205308995
550.0,3.1322418848033333
551.0,3.144576343154375
552.0,3.4895823284104344
553.0,3.3126035880373816
554.0,3.3272646902822176
555.0,2.9565713806
556.0,2.9013488889058046
557.0,3.047326784323501
558.0,2.671125035187512
559.0,3.251293835583397
560.0,3.0458749130666667
561.0,2.863740781447939
562.0,2.263552158997437
563.0,1.7711913030508664
564.0,1.7133671491805578
565.0,-1.9025918248666667
566.0,-8.538668696534385
567.0,-16.205561088326196
568.0,-34.14142800223228
569.0,-59.18204869724285
570.0,-95.99340339333334
571.0,-135.39684445499972
572.0,-174.43596935586078
573.0,-186.42661304909728
574.0,-173.63393405495648
575.0,-129.94635520000003
576.0,-38.07851790211731
577.0,44.09812205731515
578.0,134.5026233663719
579.0,216.61986447632881
580.0,281.5020243333333
581.0,304.5290309029717
582.0,284.64444161992765
583.0,246.40986784781768
584.0,188.70771512904687
585.0,128.0355233605953
586.0,86.08255735049235
587.0,58.241458590729366
588.0,45.53169717009768
589.0,40.126123456234396
590.0,36.51464033066667
591.0,39.765800788873634
592.0,39.040753571676134
593.0,42.46147845227927
594.0,42.30127165999417
595.0,44.319883819699996
596.0,44.07885698799074
597.0,45.27029964746651
598.0,44.66285241689613
599.0,47.13475365570582
600.0,47.26776163033333
601.0,47.30406841303319
602.0,49.74776696367421
603.0,48.71004159361151
604.0,48.25512191618399
605.0,49.63579519035274
606.0,50.802446097193894
607.0,51.61864924520118
608.0,52.378603938255544
609.0,50.7604584733503
610.0,52.893877823666664
611.0,52.294362494871535
612.0,52.904181691962606
613.0,53.068633604281125
614.0,52.81416274247516
615.0,52.833567942507216
616.0,52.67945106807853
617.0,52.769121613186044
618.0,54.49817686328992
619.0,52.759667001781764
620.0,53.02651917666667
621.0,54.61283931303229
622.0,53.69068527479249
623.0,52.55483386418875
624.0,51.810505940190005
625.0,51.571846259366424
626.0,52.18443260683128
627.0,51.267310900191475
628.0,50.361079938250754
629.0,48.62148828486588
630.0,46.09418964433333
631.0,44.33480821951949
632.0,41.57588393094441
633.0,41.19554660534563
634.0,40.507867879653844
635.0,38.662801553365554
636.0,35.90836009219315
637.0,35.25827848934231
638.0,36.362803848602894
639.0,36.98873403141565
640.0,37.026849106666674
641.0,40.537546156666664
642.0,38.6567529
643.0,39.949073160000005
644.0,39.67912166
645.0,40.43216991666667
646.0,43.16567674933333
647.0,44.268883706000004
648.0,44.79523627033333
649.0,43.268447873666666
650.0,45.588854154
651.0,46.78601414228258
652.0,46.689747358332056
653.0,47.75732712504261
654.0,47.67027724965135
655.0,47.34330340122032
656.0,47.10008101898014
657.0,46.71922785755256
658.0,45.229127281821896
659.0,45.81350524932203
660.0,44.28768722133333
661.0,43.91625181833333
662.0,43.386771599666666
663.0,44.10812560633333
664.0,43.99329026466666
665.0,43.40268134833333
666.0,43.200624228
667.0,41.316045364
668.0,41.070649302666666
669.0,42.07321373833334
670.0,40.214173476333336
671.0,39.84769733833333
672.0,39.020045438000004
673.0,40.192718746333334
674.0,38.82428224966666
675.0,38.49023485433334
676.0,38.267636935666665
677.0,36.813374915333334
678.0,37.26789665166667
679.0,36.60320845933334
680.0,36.18466321566666
681.0,37.47793955158571
682.0,36.963798999136266
683.0,37.07470111760221
684.0,34.69988917424199
685.0,34.89471393237651
686.0,34.63669313661836
687.0,35.146987738770584
688.0,33.30973273957871
689.0,32.869409356281466
690.0,33.825988607999996
691.0,32.50956122033333
692.0,32.455155297000005
693.0,31.464206058000002
694.0,29.946463585
695.0,29.910642469
696.0,29.713529826000002
697.0,30.730372508666665
698.0,28.655010859999997
699.0,28.69934113533333
700.0,28.68954181433333
