Wavelength (nm),Corrected Intensity
290.0,-380.12180751566666
291.0,-279.2308923344948
292.0,-183.82460196236667
293.0,-105.62822206822847
294.0,-47.149757308
295.0,-18.290462389170568
296.0,-1.3891455333333331
297.0,8.245225880456836
298.0,15.667195800333333
299.0,22.585394431937775
300.0,29.730658690999995
301.0,38.887411428730665
302.0,44.792641802
303.0,53.111825535606414
304.0,60.309808094999994
305.0,65.86163011278754
306.0,70.40775124333334
307.0,73.44193643970227
308.0,77.36270713866666
309.0,80.87704714304488
310.0,81.541586718
311.0,81.59616473816864
312.0,77.68837515366667
313.0,70.7779386638096
314.0,61.43839900000001
315.0,46.14831846191998
316.0,30.400820413333335
317.0,15.611023904468198
318.0,2.53304799
319.0,-3.9231060100709243
320.0,-0.962577820000007
321.0,1.2099380559820645
322.0,15.054239909999993
323.0,26.88412723257573
324.0,38.98529052333333
325.0,52.101117187942876
326.0,60.825080236666665
327.0,65.28809406875305
328.0,68.95360119966668
329.0,69.90108354083077
330.0,69.43504524133333
331.0,67.61577594444783
332.0,68.01392364266667
333.0,67.24187340400628
334.0,66.42695379333334
335.0,64.75126052096032
336.0,64.181237856
337.0,61.85320683384401
338.0,61.34313281133334
339.0,61.14238187845029
340.0,57.370588618999996
341.0,58.882515441679956
342.0,56.76173209966667
343.0,57.642160303380805
344.0,54.984981532999996
345.0,54.68740093082403
346.0,54.64643557666667
347.0,52.98672441114469
348.0,54.06766351233333
349.0,51.50760496320004
350.0,51.58545684723333
351.0,49.88354573154901
352.0,50.740364235066664
353.0,50.33736070783216
354.0,48.432799817
355.0,47.69301979257087
356.0,47.523149968
357.0,49.26510666813968
358.0,46.5020151152
359.0,45.53686192029499
360.0,43.8339316836
361.0,43.17569600778336
362.0,42.3287788775317
363.0,41.378909846326636
364.0,41.27644186690175
365.0,38.78697768866667
366.0,37.72019255824119
367.0,37.29530961172503
368.0,35.27672827005254
369.0,34.270794215624115
370.0,33.10018770160001
371.0,33.7384454046082
372.0,31.42800212024667
373.0,30.977766038910268
374.0,31.8914307739
375.0,30.02954426013507
376.0,30.0990699956
377.0,28.268540729709297
378.0,28.99599567993333
379.0,28.1146184924755
380.0,26.519057117866666
381.0,26.145652214056813
382.0,26.089043860496965
383.0,25.392735565933606
384.0,24.130179676119326
385.0,24.495131413333336
386.0,23.890714955535046
387.0,23.227259709588825
388.0,23.084552682885988
389.0,22.84374976231507
390.0,23.176566720666663
391.0,23.442738488840586
392.0,23.714549025333334
393.0,23.665040108898836
394.0,22.573360880000003
395.0,21.58028289788404
396.0,18.973309118166664
397.0,19.117057978727406
398.0,17.652706823333332
399.0,16.757474898591624
400.0,16.357426011
401.0,16.358967298766437
402.0,16.09527228407481
403.0,16.072831454621276
404.0,14.744649106056329
405.0,13.999198913333332
406.0,14.75783921591517
407.0,14.039950337497476
408.0,13.364729650996852
409.0,13.037580075166224
410.0,13.17523686
411.0,11.993145272874365
412.0,12.503380226105369
413.0,12.401793957488323
414.0,11.382396380377081
415.0,11.616803250000002
416.0,10.75090043474832
417.0,10.761184102118152
418.0,10.6403078579405
419.0,10.440980543335405
420.0,9.721349795333333
421.0,10.102239408039384
422.0,9.423130447310001
423.0,9.737750656598921
424.0,9.824451118392961
425.0,9.853255748666667
426.0,8.804323712405427
427.0,8.348030604465778
428.0,7.964036706480218
429.0,7.784675728952925
430.0,7.509514490333333
431.0,7.236254391128071
432.0,7.277174759036393
433.0,7.0761185593886555
434.0,6.98796285989323
435.0,6.535041729666666
436.0,7.0703872697572105
437.0,6.848048407995011
438.0,6.626716815833596
439.0,6.450768260452873
440.0,6.770151536
441.0,6.0767223486760376
442.0,5.809891202097186
443.0,6.301619853854987
444.0,6.051439867546632
445.0,6.138035059
446.0,6.194230670197612
447.0,6.300877641003588
448.0,5.2399613441396795
449.0,6.059051790677196
450.0,5.208864291333333
451.0,5.660432954474068
452.0,5.511652636804426
453.0,4.877291461954133
454.0,4.6604030710458675
455.0,5.050210965241503
456.0,5.13240157807093
457.0,4.463519047355936
458.0,4.2424400661771955
459.0,4.945397793451196
460.0,4.350330272666667
461.0,4.243056364688004
462.0,4.488346499696215
463.0,4.211299464596545
464.0,4.436540383078963
465.0,4.228333235333333
466.0,3.9325204111659255
467.0,4.394855596058074
468.0,4.190429696346919
469.0,4.0789842007762465
470.0,3.6417545081999996
471.0,3.7279814357363295
472.0,3.600088841427388
473.0,3.5431822539151008
474.0,3.8385267658182323
475.0,3.1015107281048144
476.0,3.033082951716811
477.0,3.2311541206795873
478.0,3.4438125875728742
479.0,3.4510868608783762
480.0,3.275903066266667
481.0,3.357762058588915
482.0,3.513615166369609
483.0,3.0449926453955247
484.0,3.2274007556699464
485.0,3.4466783601
486.0,2.929689105910481
487.0,3.056937108434176
488.0,2.868046673505988
489.0,2.711694813498146
490.0,2.9305424690733335
491.0,2.735696057330865
492.0,2.9595008045696005
493.0,2.4190737947527725
494.0,2.3972014841205604
495.0,2.6333886830470474
496.0,2.2708117196530893
497.0,2.1353137926167123
498.0,2.497572031006814
499.0,2.5079212187798046
500.0,2.4062569733
501.0,2.8431782403377213
502.0,2.4550268966900792
503.0,2.0702863780555743
504.0,2.4704727483377593
505.0,2.40540411792514
506.0,2.526312587926011
507.0,2.5740425224348873
508.0,2.488409643410795
509.0,2.5090493893330623
510.0,2.4559520083
511.0,2.449165732598334
512.0,2.272889291207511
513.0,2.357762651747611
514.0,2.067401824209135
515.0,2.0893214741
516.0,2.0980860139609208
517.0,2.2129057487692565
518.0,2.229411679040153
519.0,1.9060939752254447
520.0,2.05678165
521.0,1.9350811386750832
522.0,2.1606272260728425
523.0,2.1937309392198676
524.0,1.7595891268134656
525.0,1.987660314505273
526.0,1.9311101474754517
527.0,2.2905917496254533
528.0,1.806796731056751
529.0,1.9914866722326328
530.0,1.9955503937666665
531.0,2.052122856068753
532.0,2.065069984369389
533.0,1.8848548924125015
534.0,2.169936140487499
535.0,1.7714161990450088
536.0,2.021875345839935
537.0,2.1087048348145916
538.0,1.4646938841979633
539.0,1.9644241558067725
540.0,1.9718642833333333
541.0,1.5842873478597097
542.0,1.8724473976176625
543.0,1.8814454550547133
544.0,1.7790505114369242
545.0,1.5370953477666665
546.0,1.6247766231409786
547.0,1.6801872312107773
548.0,1.6919446648890624
549.0,1.6583390189781375
550.0,1.5935006737
551.0,1.7806581929435068
552.0,1.7550452965269208
553.0,1.5483732682956641
554.0,1.6904659331692367
555.0,1.2430040443666663
556.0,1.2559960501077336
557.0,1.261061166540625
558.0,1.2529405150202786
559.0,1.7478916799314348
560.0,1.4881219660666667
561.0,1.1600413087197532
562.0,1.0955840524629703
563.0,0.3364848264266618
564.0,-0.13077040477141244
565.0,-3.5166604323333335
566.0,-9.937383469883173
567.0,-18.34932831111589
568.0,-37.06922327833966
569.0,-65.39641575011889
570.0,-108.81474770983334
571.0,-161.5665572622003
572.0,-227.24304132067974
573.0,-278.1432146030816
574.0,-321.3164482525865
575.0,-341.7045422336667
576.0,-326.30431961517735
577.0,-324.2732938919305
578.0,-308.3291568819785
579.0,-295.50714259973074
580.0,-266.45489799390003
581.0,-235.80250517014164
582.0,-195.22058364561573
583.0,-144.1938152018692
584.0,-93.57242366219076
585.0,-59.5277389635748
586.0,-31.109937929555233
587.0,-15.23112764386603
588.0,-6.214076026195747
589.0,-2.83558593750229
590.0,-1.8197422618666665
591.0,0.11733541073340353
592.0,0.2419088887411135
593.0,2.1552206004635757
594.0,2.7365519536840117
595.0,4.5172841546999996
596.0,6.343307584284782
597.0,7.558139237531448
598.0,8.321374190891262
599.0,9.720324167977054
600.0,11.661730527
601.0,12.775360945569497
602.0,14.477218607798841
603.0,15.278298563032692
604.0,15.35890713951055
605.0,16.4317690676125
606.0,17.165289962181788
607.0,18.138153918412307
608.0,20.312825490476317
609.0,19.604086679365906
610.0,19.690736930333333
611.0,19.659981782544996
612.0,20.637207076499557
613.0,21.360413517494944
614.0,19.91403373412019
615.0,21.64782021039072
616.0,22.128301000412517
617.0,21.54165421936355
618.0,21.851011901437047
619.0,22.397382296250676
620.0,22.10206481
621.0,21.355399791172157
622.0,22.344038606306572
623.0,20.863900993432534
624.0,19.94126859487483
625.0,19.690484366745995
626.0,19.29425207386136
627.0,18.18102794715741
628.0,16.19961065924855
629.0,15.604464129587932
630.0,12.752670607666667
631.0,10.417864050014202
632.0,6.670463686404959
633.0,4.526438863515606
634.0,4.275015210149007
635.0,1.2092741228244712
636.0,-2.3602663910117556
637.0,-3.8490735451079647
638.0,-3.286970945190019
639.0,-4.659288536762842
640.0,-3.7707328833333307
641.0,-2.509073893333335
642.0,-4.610510196666667
643.0,-2.662975623333333
644.0,-1.2355909300000008
645.0,1.192722643333333
646.0,2.9478387826666683
647.0,4.449003219333333
648.0,6.240247090333333
649.0,6.4427684136666645
650.0,9.204481127333334
