Laser Delay [ns];TA [mOD]
-400;-0.041859
-390;-0.038506
-380;-0.150842
-370;-0.019409
-360;-0.134445
-350;-0.117583
-340;-0.102946
-330;-0.098720
-320;-0.139738
-310;-0.048154
-300;-0.100078
-290;-0.163813
-280;-0.081743
-270;-0.061639
-260;-0.084007
-250;-0.096096
-240;-0.058170
-230;-0.112877
-220;-0.071770
-210;-0.061279
-200;-0.107643
-190;-0.087446
-180;-0.141309
-170;-0.069656
-160;-0.115199
-150;-0.083267
-140;-0.078390
-130;-0.068409
-120;-0.108736
-110;-0.114513
-100;-0.113251
-90;-0.069560
-80;-0.072156
-70;-0.098137
-60;-0.121221
-50;-0.129363
-40;-0.101735
-30;-0.116506
-20;-0.093677
-10;0.098027
0;1.314222
10;2.512038
20;3.753301
30;4.895687
40;6.105108
50;7.195700
60;8.423780
70;9.450376
80;10.599055
90;11.603057
100;12.776266
110;13.782205
120;14.696269
130;14.501405
140;14.425876
150;14.194619
160;14.127527
170;13.971593
180;13.799922
190;13.775528
200;13.584685
210;13.423186
220;13.304305
230;13.172991
240;13.013203
250;12.881448
260;12.819472
270;12.609591
280;12.477128
290;12.398801
300;12.246617
310;12.149733
320;11.938422
330;11.910508
340;11.797778
350;11.623678
360;11.520877
370;11.481144
380;11.318237
390;11.222672
400;11.072012
410;10.947440
420;10.923719
430;10.718968
440;10.667750
450;10.592135
460;10.385603
470;10.391075
480;10.240492
490;10.168364
500;10.020444
510;9.890267
520;9.855918
530;9.696329
540;9.624276
550;9.573833
560;9.432855
570;9.372596
580;9.246274
590;9.116156
600;9.127515
610;8.921116
620;8.995816
630;8.789779
640;8.691038
650;8.657532
660;8.575668
670;8.467389
680;8.320983
690;8.257543
700;8.125284
710;8.134355
720;8.035125
730;7.976762
740;7.914249
750;7.832947
760;7.815632
770;7.594035
780;7.602833
790;7.490544
800;7.415630
810;7.376103
820;7.277149
830;7.182955
840;7.187883
850;7.038653
860;7.055917
870;6.957296
880;6.833745
890;6.828287
900;6.712151
910;6.632223
920;6.648477
930;6.514177
940;6.428075
950;6.428601
960;6.326620
970;6.287151
980;6.235102
990;6.190799
1000;6.066976
1010;6.016100
1020;5.953104
1030;5.905566
1040;5.913068
1050;5.866005
1060;5.705371
1070;5.658525
1080;5.603437
1090;5.499630
1100;5.508449
1110;5.517294
1120;5.411246
1130;5.375925
1140;5.297421
1150;5.172971
1160;5.165770
1170;5.225355
1180;5.076073
1190;4.988426
1200;5.048448
1210;4.884633
1220;4.906994
1230;4.844599
1240;4.799426
1250;4.724583
1260;4.673581
1270;4.619101
1280;4.588438
1290;4.549956
1300;4.564305
1310;4.512347
1320;4.382293
1330;4.398773
1340;4.365665
1350;4.289770
1360;4.201195
1370;4.189965
1380;4.198982
1390;4.104296
1400;4.074860
1410;4.018278
1420;3.995331
1430;3.961078
1440;3.952367
1450;3.914938
1460;3.814874
1470;3.804309
1480;3.844254
1490;3.761179
1500;3.711462
1510;3.732532
1520;3.644954
1530;3.592821
1540;3.472068
1550;3.544684
1560;3.421894
1570;3.418259
1580;3.428237
1590;3.354723
1600;3.351298
1610;3.351796
1620;3.255720
1630;3.276316
1640;3.271883
1650;3.200880
1660;3.094192
1670;3.183175
1680;3.103913
1690;3.118400
1700;3.062096
1710;3.081427
1720;3.011463
1730;2.993005
1740;2.936245
1750;2.911497
1760;2.863184
1770;2.733751
1780;2.825984
1790;2.838000
1800;2.791999
1810;2.719278
1820;2.711867
1830;2.666994
1840;2.728474
1850;2.577149
1860;2.663987
1870;2.637023
1880;2.584570
1890;2.546307
1900;2.560040
1910;2.447148
1920;2.423577
1930;2.438319
1940;2.405918
1950;2.408183
1960;2.323665
1970;2.336285
1980;2.309808
1990;2.376194
2000;2.247612
2010;2.279189
2020;2.167277
2030;2.213439
2040;2.183103
2050;2.125687
2060;2.092510
2070;2.150512
2080;2.109582
2090;2.121824
2100;2.064444
2110;2.089041
2120;2.053906
2130;2.053683
2140;2.006489
2150;1.907440
2160;1.912319
2170;1.965336
2180;1.961969
2190;1.888463
2200;1.875321
2210;1.879351
2220;1.807798
2230;1.798761
2240;1.771874
2250;1.809013
2260;1.716647
2270;1.822000
2280;1.739339
2290;1.741713
2300;1.724416
2310;1.703023
2320;1.709961
2330;1.624975
2340;1.676650
2350;1.621212
2360;1.592815
2370;1.584604
2380;1.627866
2390;1.538604
2400;1.573281
2410;1.593362
2420;1.549538
2430;1.513746
2440;1.494606
2450;1.374726
2460;1.421897
2470;1.419591
2480;1.463651
2490;1.406577
2500;1.382198
2510;1.390098
2520;1.401732
2530;1.369172
2540;1.261066
2550;1.375144
2560;1.303605
2570;1.311819
2580;1.269508
2590;1.290213
2600;1.345222
2610;1.300747
2620;1.220228
2630;1.214410
2640;1.200058
2650;1.266643
2660;1.222805
2670;1.145126
2680;1.217781
2690;1.136303
2700;1.160728
2710;1.092581
2720;1.150081
2730;1.156627
2740;1.046726
2750;1.126267
2760;1.138189
2770;1.051988
2780;1.065196
2790;1.048708
2800;1.126383
2810;1.029867
2820;1.060221
2830;1.036782
2840;0.993340
2850;1.114723
2860;1.068072
2870;1.011664
2880;1.013900
2890;0.912729
2900;1.027784
2910;0.948201
2920;0.991291
2930;1.016121
2940;0.965984
2950;0.849035
2960;0.877141
2970;0.933058
2980;0.878433
2990;0.867061
3000;0.875430
3010;0.939671
3020;0.914423
3030;0.804511
3040;0.866195
3050;0.792118
