Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.288542;-0.344307;-0.453589;-0.391094;-0.240661
-390;-0.322331;-0.394840;-0.336876;-0.393795;-0.323490
-380;-0.270529;-0.437015;-0.229665;-0.474793;-0.394195
-370;-0.551788;-0.346061;-0.437113;-0.198105;-0.371297
-360;-0.282072;-0.268797;-0.284822;-0.390379;-0.183865
-350;-0.588744;-0.112309;-0.452480;-0.368598;-0.351532
-340;-0.396876;-0.315117;-0.398128;-0.166708;-0.416366
-330;-0.381545;-0.321619;-0.315820;-0.450193;-0.310957
-320;-0.191898;-0.418904;-0.340398;-0.287151;-0.383773
-310;-0.276415;-0.245082;-0.304185;-0.332969;-0.318243
-300;-0.428277;-0.305497;-0.201932;-0.407567;-0.203642
-290;-0.413978;-0.484685;-0.265682;-0.255786;-0.427540
-280;-0.254020;-0.293291;-0.349831;-0.303246;-0.245026
-270;-0.293319;-0.350275;-0.286562;-0.298356;-0.374159
-260;-0.404376;-0.186816;-0.330032;-0.348787;-0.335073
-250;-0.521495;-0.179534;-0.486454;-0.398161;-0.238252
-240;-0.255167;-0.351025;-0.195785;-0.270950;-0.397909
-230;-0.376972;-0.357049;-0.310629;-0.309925;-0.313841
-220;-0.291779;-0.413441;-0.363051;-0.272116;-0.454227
-210;-0.250553;-0.411884;-0.451018;-0.353590;-0.372602
-200;-0.134328;-0.388363;-0.143007;-0.125666;-0.166151
-190;-0.290795;-0.538773;-0.483067;-0.434479;-0.180201
-180;-0.237208;-0.187550;-0.195407;-0.511890;-0.365186
-170;-0.360512;-0.290963;-0.277933;-0.329916;-0.406185
-160;-0.407598;-0.282507;-0.278313;-0.376242;-0.406604
-150;-0.231957;-0.371794;-0.271146;-0.157067;-0.244142
-140;-0.329283;-0.319894;-0.258691;-0.330723;-0.152458
-130;-0.181729;-0.416468;-0.309876;-0.395101;-0.570486
-120;-0.215458;-0.109880;-0.411468;-0.241226;-0.325523
-110;-0.119373;-0.299815;-0.387444;-0.189703;-0.363652
-100;-0.339666;-0.313494;-0.162743;-0.209762;-0.359006
-90;-0.347200;-0.297811;-0.104300;-0.293153;-0.377480
-80;-0.260433;-0.133197;-0.293973;-0.351393;-0.245811
-70;-0.338339;-0.366876;-0.324174;-0.319854;-0.369396
-60;-0.435711;-0.317528;-0.257391;-0.173668;-0.387029
-50;-0.293258;-0.337997;-0.447302;-0.510777;-0.089728
-40;-0.095204;-0.125970;-0.461827;-0.277586;-0.328365
-30;-0.375186;-0.532413;-0.310022;-0.370930;-0.532597
-20;-0.304916;-0.303084;-0.281843;-0.326142;-0.387497
-10;0.451550;0.360117;0.513742;0.612867;0.339072
0;2.640854;2.510834;2.758707;2.679859;2.535440
10;4.707092;4.689747;4.797352;4.663864;4.555539
20;6.893415;6.757568;6.872244;6.915099;6.919976
30;8.762004;8.591094;8.834875;8.614346;8.744162
40;10.921808;10.708223;10.749821;10.762383;10.800769
50;12.787231;12.917332;12.763048;12.648688;12.588042
60;14.668978;14.657829;14.803164;14.525167;14.604754
70;16.453131;16.549323;16.400963;16.597252;16.610929
80;18.300189;18.400601;18.407497;18.417696;18.262166
90;20.219415;20.250682;20.289598;20.300574;20.387075
100;22.046511;22.204533;21.916426;22.117460;22.110213
110;24.012908;23.793547;23.727378;23.903530;23.915493
120;24.968298;24.820465;24.748629;25.056322;24.978552
130;24.576847;24.506297;24.486420;24.620593;24.590563
140;24.061372;24.363185;24.380705;24.389961;24.329697
150;24.081564;24.106338;23.969800;23.899473;24.041450
160;23.652747;23.827606;23.582494;23.722048;23.594957
170;23.229248;23.252205;23.334336;23.100483;23.225492
