Laser Delay [ns];TA [mOD]
-400;-0.326449
-390;-0.302535
-380;-0.159781
-370;-0.286958
-360;-0.198342
-350;-0.297489
-340;-0.141384
-330;-0.346054
-320;-0.271129
-310;-0.246350
-300;-0.218734
-290;-0.179896
-280;-0.129077
-270;-0.234831
-260;-0.220889
-250;-0.158012
-240;-0.082761
-230;-0.367379
-220;-0.168875
-210;-0.176064
-200;-0.207155
-190;-0.388745
-180;-0.202544
-170;-0.272614
-160;-0.234209
-150;-0.348772
-140;-0.221049
-130;-0.104876
-120;-0.270673
-110;-0.216286
-100;-0.218310
-90;-0.293346
-80;-0.250041
-70;-0.202609
-60;-0.269363
-50;-0.170818
-40;-0.234957
-30;-0.223029
-20;-0.304240
-10;0.148508
0;2.371103
10;4.578754
20;6.817755
30;9.007365
40;11.076043
50;13.169360
60;15.425045
70;17.149927
80;19.122566
90;21.151201
100;23.244119
110;25.194574
120;26.829746
130;26.470277
140;26.157975
150;26.064541
160;25.550455
170;25.305270
180;25.052017
190;24.747490
200;24.427351
210;24.293296
220;24.037633
230;23.796754
240;23.538394
250;23.232019
260;23.000731
270;22.762236
280;22.481698
290;22.348101
300;22.073491
310;21.789883
320;21.547165
330;21.269723
340;21.040850
350;20.841102
360;20.702266
370;20.432172
380;20.200564
390;20.000038
400;19.783925
410;19.592738
420;19.434376
430;19.029277
440;18.989855
450;18.796123
460;18.643052
470;18.341431
480;18.079858
490;17.922398
500;17.837799
510;17.607146
520;17.424861
530;17.265352
540;17.027861
550;16.840306
560;16.606904
570;16.598865
580;16.352510
590;16.026219
600;15.915495
610;15.760876
620;15.673111
630;15.401401
640;15.211939
650;15.042674
660;14.941584
670;14.745706
680;14.852219
690;14.607398
700;14.310748
710;14.140792
720;14.078319
730;13.946451
740;13.841238
750;13.614138
760;13.431895
770;13.389928
780;13.110795
790;13.006314
800;12.917046
810;12.831076
820;12.595038
830;12.419651
840;12.420337
850;12.179373
860;12.124950
870;11.890475
880;11.850143
890;11.688016
900;11.663549
910;11.405367
920;11.319331
930;11.236542
940;11.041037
950;10.971241
960;10.768624
970;10.800564
980;10.724560
990;10.615646
1000;10.396319
1010;10.432538
1020;10.292569
1030;10.161164
1040;10.073908
1050;9.845037
1060;9.812867
1070;9.732892
1080;9.615781
1090;9.392023
1100;9.461445
1110;9.293633
1120;9.230539
1130;9.125269
1140;8.838021
1150;9.019413
1160;8.844066
1170;8.805809
1180;8.588357
1190;8.527549
1200;8.433433
1210;8.339782
1220;8.264411
1230;8.111800
1240;8.211855
1250;8.127318
1260;7.861121
1270;7.809395
1280;7.720400
1290;7.628509
1300;7.695616
1310;7.485120
1320;7.546719
1330;7.354311
1340;7.327071
1350;7.190012
1360;7.080550
1370;7.120934
1380;6.916604
1390;6.959108
1400;6.802189
1410;6.893458
1420;6.691916
1430;6.661991
1440;6.566271
1450;6.465305
1460;6.514782
1470;6.445635
1480;6.276560
1490;6.256171
1500;6.164442
1510;6.231570
1520;6.047171
1530;6.038532
1540;6.007753
1550;6.074714
1560;5.802242
1570;5.672898
1580;5.791900
1590;5.612982
1600;5.486113
1610;5.494841
1620;5.421962
1630;5.593975
1640;5.387250
1650;5.251908
1660;5.397540
1670;5.207012
1680;5.217650
1690;5.094056
1700;4.969178
1710;5.025550
1720;5.065223
1730;4.941722
1740;4.957702
1750;4.749533
1760;4.923799
1770;4.717436
1780;4.785273
1790;4.615315
1800;4.486437
1810;4.566151
1820;4.581365
1830;4.399494
1840;4.432628
1850;4.417835
1860;4.343156
1870;4.340005
1880;4.119841
1890;4.100264
1900;4.253209
1910;4.217931
1920;4.175180
1930;4.023462
1940;3.983590
1950;4.118477
1960;3.972609
1970;3.858584
1980;3.865493
1990;3.809294
2000;3.837328
2010;3.843715
2020;3.713655
2030;3.768305
2040;3.551571
2050;3.664170
2060;3.530600
2070;3.525003
2080;3.588173
2090;3.472695
2100;3.478337
2110;3.507734
2120;3.353600
2130;3.355875
2140;3.260352
2150;3.356486
2160;3.299165
2170;3.201819
2180;3.216705
2190;3.271351
2200;3.094907
2210;3.183347
2220;3.263027
2230;3.083938
2240;3.125750
2250;3.091307
2260;3.140270
2270;3.061414
2280;2.955699
2290;2.952959
2300;2.854590
2310;2.789973
2320;2.649702
2330;2.826240
2340;2.754486
2350;2.797598
2360;2.657166
2370;2.609551
2380;2.663272
2390;2.582627
2400;2.566289
2410;2.593475
2420;2.495862
2430;2.493028
2440;2.537245
2450;2.530839
2460;2.574134
2470;2.376447
2480;2.533784
2490;2.400236
2500;2.475777
2510;2.263740
2520;2.563731
2530;2.281604
2540;2.384388
2550;2.323029
2560;2.219429
2570;2.378363
2580;2.109665
2590;2.254988
2600;2.367189
2610;2.267866
2620;2.164108
2630;2.073616
2640;2.208332
2650;2.053562
2660;2.140937
2670;2.205098
2680;2.119191
2690;1.998942
2700;2.049934
2710;2.071106
2720;2.077465
2730;1.880330
2740;1.950971
2750;2.137055
2760;1.963131
2770;2.026952
2780;2.054469
2790;1.789151
2800;1.875971
2810;1.971247
2820;1.891091
2830;1.789701
2840;1.903305
2850;1.778266
2860;1.784158
2870;1.699508
2880;1.838562
2890;1.799682
2900;1.857904
2910;1.715427
2920;1.705835
2930;1.734162
2940;1.679963
2950;1.819077
2960;1.663790
2970;1.683260
2980;1.654310
2990;1.666910
3000;1.621813
3010;1.553244
3020;1.601424
3030;1.623904
3040;1.653032
3050;1.608537
3060;1.401047
3070;1.464098
3080;1.434587
3090;1.686051
3100;1.419957
3110;1.519642
3120;1.468767
3130;1.318749
3140;1.504724
3150;1.572945
3160;1.371936
3170;1.445975
3180;1.461915
3190;1.469191
3200;1.358252
3210;1.453408
3220;1.613780
3230;1.397812
3240;1.456012
3250;1.502542
3260;1.272937
3270;1.231255
3280;1.319849
3290;1.362979
3300;1.366343
3310;1.227802
3320;1.351789
3330;1.388385
3340;1.277334
3350;1.223539
3360;1.244032
3370;1.146633
3380;1.174434
3390;1.168197
3400;1.339527
3410;1.192056
3420;1.184139
3430;1.161768
3440;1.248796
3450;1.269834
3460;1.261851
3470;1.156705
3480;1.174991
3490;1.229619
3500;1.200536
3510;1.174408
3520;1.281849
3530;1.129266
3540;1.134778
3550;1.106484
3560;1.037457
3570;1.110541
3580;1.303758
3590;1.037067
3600;1.010152
3610;1.053855
3620;0.981927
3630;1.040042
3640;1.087963
3650;1.040998
3660;1.011401
3670;1.105917
3680;1.105562
3690;1.009826
3700;1.013811
3710;1.064298
3720;1.047907
3730;1.076095
3740;0.963199
3750;0.936041
3760;0.958784
3770;1.117665
3780;0.976164
3790;0.873660
3800;0.998863
3810;1.029848
3820;1.147873
3830;1.155669
3840;0.943485
3850;1.030274
3860;1.064649
3870;1.100582
3880;1.046499
3890;0.799836
3900;0.982895
3910;1.019487
3920;1.079249
3930;0.847644
3940;0.839352
3950;0.938665
3960;0.909233
3970;0.975815
3980;0.961590
3990;0.838807
4000;0.939600
4010;0.978701
4020;0.912063
4030;0.767420
4040;0.935470
4050;0.863379
4060;0.895623
4070;0.891456
4080;0.892456
4090;0.897881
4100;0.813565
4110;0.898456
4120;0.863351
4130;0.938992
4140;0.853843
4150;0.954229
4160;0.878842
4170;0.766678
4180;0.844053
4190;0.831376
4200;0.823558
4210;0.791509
4220;0.902593
4230;0.792459
4240;0.877445
4250;0.789014
4260;0.706489
4270;0.719012
4280;0.880923
4290;0.677151
4300;0.807241
4310;0.682055
4320;0.742754
4330;0.783654
4340;0.812524
4350;0.754232
4360;0.863716
4370;0.775538
4380;0.805979
4390;0.682668
4400;0.798673
4410;0.724289
4420;0.822123
4430;0.789484
4440;0.769171
4450;0.709573
4460;0.730651
4470;0.854613
4480;0.883448
4490;0.686005
4500;0.808504
4510;0.973596
4520;0.758756
4530;0.848344
4540;0.662742
4550;1.022307
4560;0.848387
4570;0.939668
4580;0.748318
4590;0.738688
4600;0.732166
4610;0.745686
4620;0.766263
4630;0.865646
4640;0.801143
4650;0.813490
