Laser Delay [ns];TA [mOD]
3650;1.161189
3660;1.091083
3670;1.212276
3680;1.166816
3690;1.199506
3700;1.207594
3710;1.273744
3720;1.099763
3730;1.082432
3740;1.195535
3750;1.189871
3760;1.061309
3770;1.152654
3780;1.105757
3790;1.061483
3800;1.115214
3810;1.144336
3820;1.074119
3830;1.069529
3840;1.066634
3850;1.041464
3860;1.054540
3870;1.096050
3880;1.103184
3890;1.112159
3900;1.015498
3910;0.936443
3920;1.031684
3930;0.987461
3940;1.037782
3950;1.059571
3960;0.981722
3970;1.004711
3980;0.988267
3990;1.036947
4000;0.938671
4010;0.947304
4020;0.912066
4030;1.121855
4040;1.003782
4050;1.031484
4060;1.030916
4070;1.031265
4080;0.929318
4090;1.001493
4100;0.962150
4110;0.900436
4120;1.000512
4130;0.938430
4140;0.908650
4150;0.921417
4160;0.979040
4170;0.946152
4180;0.957812
4190;0.901877
4200;0.860753
4210;0.924636
4220;0.964822
4230;0.908065
4240;0.953467
4250;0.892992
4260;0.977767
4270;0.915469
4280;0.903500
4290;0.907553
4300;0.958561
4310;0.906024
4320;0.899548
4330;0.851667
4340;0.925694
4350;0.904669
4360;0.924981
4370;0.928663
4380;0.898095
4390;0.840574
4400;0.811993
4410;0.856446
4420;0.799233
4430;0.872347
4440;0.862641
4450;0.867307
4460;0.885767
4470;0.880991
4480;0.794928
4490;0.863749
4500;0.865978
4510;0.836988
4520;0.880969
4530;0.841699
4540;0.857181
4550;0.807976
4560;0.764755
4570;0.792967
4580;0.844073
4590;0.844768
4600;0.827899
4610;0.885484
4620;0.757907
4630;0.820773
4640;0.746217
4650;0.808410
4660;0.825108
4670;0.822170
4680;0.838227
4690;0.865198
4700;0.718426
4710;0.760938
4720;0.779293
4730;0.766576
4740;0.774433
4750;0.839908
4760;0.786649
4770;0.790815
4780;0.840563
4790;0.824288
4800;0.766962
4810;0.800450
4820;0.731074
4830;0.808180
4840;0.782353
4850;0.782934
4860;0.728807
4870;0.695229
4880;0.799281
4890;0.753632
4900;0.770733
4910;0.803789
4920;0.763973
4930;0.739172
4940;0.752990
4950;0.755971
4960;0.771290
4970;0.694615
4980;0.724885
4990;0.709993
5000;0.723819
