Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
790;7.475132;7.548995;7.449392;7.516046;7.463155
800;7.351371;7.476919;7.513751;7.409362;7.326747
810;7.459467;7.324184;7.362811;7.319430;7.414621
820;7.369206;7.330271;7.315191;7.229164;7.141911
830;7.365939;7.077275;7.219862;7.160243;7.091456
840;7.092840;7.289245;7.334985;7.034950;7.187394
850;6.891581;7.218928;7.050232;7.102663;6.929859
860;7.109844;7.060283;6.986527;7.040818;7.082114
870;6.980032;6.859981;6.948751;6.984444;7.013272
880;6.795518;6.982891;6.938572;6.731679;6.720067
890;6.813721;6.919412;6.904665;6.709205;6.794433
900;6.622686;6.736970;6.796506;6.676682;6.727913
910;6.611990;6.762230;6.700814;6.517842;6.568240
920;6.624574;6.593136;6.692792;6.665616;6.666269
930;6.433762;6.533297;6.571169;6.488740;6.543917
940;6.356907;6.368325;6.458059;6.532285;6.424798
950;6.305020;6.551286;6.440242;6.420231;6.426225
960;6.366092;6.404472;6.216405;6.435629;6.210504
970;6.256056;6.260314;6.266790;6.331541;6.321055
980;6.199158;6.210308;6.289287;6.230024;6.246731
990;6.088675;6.215956;6.259646;6.171306;6.218412
1000;6.025796;6.179263;6.015307;6.107940;6.006576
1010;6.189676;5.928352;5.881772;6.060750;6.019952
1020;5.744843;6.048102;5.975064;6.018925;5.978587
1030;5.881835;5.913321;5.881811;5.827119;6.023745
1040;5.860323;6.049224;5.885118;5.834898;5.935775
1050;5.845223;5.962817;5.982957;5.759645;5.779385
1060;5.728170;5.578929;5.727560;5.847569;5.644625
1070;5.602147;5.719062;5.570945;5.815047;5.585424
1080;5.556400;5.680664;5.622412;5.628441;5.529268
1090;5.478641;5.530171;5.488578;5.476993;5.523766
1100;5.405387;5.526716;5.539372;5.647403;5.423368
1110;5.470803;5.596332;5.504103;5.411894;5.603339
1120;5.517853;5.463901;5.371010;5.334281;5.369186
1130;5.392176;5.326658;5.243020;5.386506;5.531263
1140;5.188489;5.241378;5.398662;5.408830;5.249744
1150;5.140746;5.041980;5.205198;5.323954;5.152974
1160;4.937709;5.284428;5.289851;5.170457;5.146406
1170;5.163008;5.295338;5.247409;5.135064;5.285956
1180;5.084057;5.013238;5.172551;5.127173;4.983345
1190;4.883118;4.997211;5.087351;4.961721;5.012727
1200;5.076425;4.987165;5.005387;4.989525;5.183735
1210;4.851733;4.988548;4.847198;4.953716;4.781969
1220;4.858171;4.899735;4.997240;4.799826;4.979995
1230;4.786484;4.913671;4.879206;4.801281;4.842353
1240;4.724886;4.791633;4.879310;4.706133;4.895166
1250;4.652907;4.867594;4.677782;4.643663;4.780968
1260;4.596183;4.691575;4.707004;4.728574;4.644569
1270;4.620067;4.698028;4.541241;4.566327;4.669842
1280;4.560242;4.711180;4.520303;4.593702;4.556765
1290;4.596495;4.499146;4.522964;4.525567;4.605606
1300;4.586251;4.588740;4.581637;4.699917;4.364981
1310;4.430893;4.529964;4.786999;4.379524;4.434357
1320;4.276009;4.517841;4.428962;4.393467;4.295188
1330;4.440694;4.441247;4.396508;4.399133;4.316283
1340;4.406880;4.372001;4.445428;4.197634;4.406384
1350;4.142125;4.246394;4.279457;4.309621;4.471253
1360;4.003009;4.288726;4.198074;4.291604;4.224560
1370;4.083764;4.209352;4.173724;4.223582;4.259401
1380;4.135441;4.153725;4.332851;4.241753;4.131140
1390;4.148496;4.106884;4.214577;4.082914;3.968610
1400;4.023578;3.971497;4.256154;4.148645;3.974427
1410;4.065281;4.073033;3.937685;3.973584;4.041805
1420;3.983277;3.999300;3.887599;4.081573;4.024906
1430;3.866217;3.870929;4.078405;3.958123;4.031715
1440;4.004543;3.858477;3.915245;3.978463;4.005107
1450;3.847185;3.996954;3.808721;3.875293;4.046539
1460;3.747310;3.879902;3.841132;3.816321;3.789703
1470;3.749906;3.855194;3.682164;3.809045;3.925237
