Laser Delay [ns];TA [mOD]
3650;0.878232
3660;1.007477
3670;0.935498
3680;1.043257
3690;1.006335
3700;0.967705
3710;1.018153
3720;0.953186
3730;0.924076
3740;0.939615
3750;0.822765
3760;0.915542
3770;0.810082
3780;1.043408
3790;0.921180
3800;0.832619
3810;0.842185
3820;1.001795
3830;0.880821
3840;0.871274
3850;0.967285
3860;0.897930
3870;0.991035
3880;0.808167
3890;0.901431
3900;0.812751
3910;0.826378
3920;0.872596
3930;0.868282
3940;0.892813
3950;0.805249
3960;0.807706
3970;0.805018
3980;0.864993
3990;0.893742
4000;0.874928
4010;0.894548
4020;0.800103
4030;0.739113
4040;0.841725
4050;0.649059
4060;0.833220
4070;0.843571
4080;0.762878
4090;0.819669
4100;0.828174
4110;0.801716
4120;0.802890
4130;0.667414
4140;0.838092
4150;0.784342
4160;0.747901
4170;0.778840
4180;0.730347
4190;0.705176
4200;0.807540
4210;0.744631
4220;0.759191
4230;0.745227
4240;0.753996
4250;0.724953
4260;0.734864
4270;0.713858
4280;0.648745
4290;0.738291
4300;0.752788
4310;0.835527
4320;0.798133
4330;0.698295
4340;0.861084
4350;0.706043
4360;0.875842
4370;0.703266
4380;0.727763
4390;0.732600
4400;0.765433
4410;0.760541
4420;0.753933
4430;0.646050
4440;0.625345
4450;0.723989
4460;0.664499
4470;0.669866
4480;0.701418
4490;0.816572
4500;0.774834
4510;0.601821
4520;0.686904
4530;0.637312
4540;0.601217
4550;0.705291
4560;0.753989
4570;0.688553
4580;0.694552
4590;0.694606
4600;0.715439
4610;0.700171
4620;0.607870
4630;0.709495
4640;0.607655
4650;0.713631
4660;0.692792
4670;0.534123
4680;0.747512
4690;0.644538
4700;0.685076
4710;0.717280
4720;0.664844
4730;0.695847
4740;0.619434
4750;0.708875
4760;0.705461
4770;0.633869
4780;0.631470
4790;0.537807
4800;0.693599
4810;0.572984
4820;0.658559
4830;0.663672
4840;0.657863
4850;0.631936
4860;0.649680
4870;0.647432
4880;0.619164
4890;0.580545
4900;0.657790
4910;0.683692
4920;0.601705
4930;0.632030
4940;0.621631
4950;0.576135
4960;0.760164
4970;0.512343
4980;0.620877
4990;0.576680
5000;0.600171
