Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
680;11.418575;11.359348;11.538460;11.329085;11.362873
690;11.193384;11.257237;11.165630;11.113930;11.223689
700;11.238245;11.354892;11.390332;11.107809;11.224330
710;11.076683;11.248433;11.074141;10.893615;10.745322
720;11.138791;11.121032;10.892877;10.853436;10.880445
730;10.791994;10.781477;10.831074;10.833967;10.784673
740;10.693914;10.751517;10.891695;10.760971;10.624800
750;10.735199;10.641014;10.867736;10.644139;10.436455
760;10.487327;10.445648;10.791013;10.671871;10.681905
770;10.516720;10.627598;10.403441;10.399784;10.469633
780;10.327928;10.490125;10.441942;10.421330;10.250449
790;10.534892;10.244977;10.171052;10.344918;10.136045
800;10.161608;10.434550;9.975841;10.263534;10.132147
810;10.305571;9.940946;10.107032;9.794072;10.018263
820;9.843095;9.950913;10.149027;9.923691;9.906178
830;9.831771;10.197892;9.632737;9.795986;9.854889
840;9.462755;10.022882;9.520025;9.792056;9.765556
850;9.408371;9.923552;9.669424;9.502828;9.427950
860;9.791246;9.553564;9.743692;9.732813;9.487158
870;9.697262;9.498864;9.682955;9.617544;9.489907
880;9.468205;9.510254;9.447137;9.326454;9.488991
890;9.280818;9.204389;9.071552;9.143938;9.183941
900;9.362693;9.061387;9.142158;9.336124;9.262052
910;9.087513;9.149228;9.347892;9.256535;9.090691
920;9.071706;9.103260;8.791799;8.824165;8.963293
930;8.761830;9.040863;9.058737;8.794126;8.656205
940;9.086367;9.057202;8.822531;8.756352;8.873406
950;8.646754;8.994631;8.942368;8.684972;8.613308
960;8.710103;8.662714;8.638678;8.497603;8.867220
970;8.729994;8.638465;8.781958;8.601493;8.806628
980;8.541109;8.414069;8.396189;8.531419;8.389207
990;8.551611;8.563206;8.291318;8.371363;8.652962
1000;8.079165;8.406320;8.496172;8.342196;8.317699
1010;8.527810;8.423530;7.870747;8.503728;8.179521
1020;8.400133;7.831344;8.117777;8.042348;8.185218
1030;8.246626;8.217608;8.014573;7.898123;8.136450
1040;7.996529;8.140094;7.969671;8.097523;8.026507
1050;7.883268;7.734263;7.864481;7.934341;8.120839
