MgCl EDTA 21Feb GroupA_X,MgCl EDTA 21Feb GroupA_Y
5.55,9.81955
5.566667,9.81935
5.583333,9.81914
5.6,9.81939
5.616667,9.8194
5.633333,9.81955
5.65,9.81945
5.666667,9.81919
5.683333,9.81922
5.7,9.81942
5.716667,9.81952
5.733333,9.81967
5.75,9.81982
5.766667,9.81997
5.783333,9.8197
5.8,9.81958
5.816667,9.81958
5.833333,9.81966
5.85,9.81937
5.866667,9.81898
5.883333,9.81867
5.9,9.81864
5.916667,9.81873
5.933333,9.81835
5.95,9.81828
5.966667,9.81822
5.983333,9.81753
6,9.81717
6.016667,9.81803
6.033333,9.82022
6.05,9.83437
6.066667,9.8828
6.083333,9.96858
6.1,10.07342
6.116667,10.15428
6.133333,10.19798
6.15,10.21536
6.166667,10.20868
6.183333,10.18251
6.2,10.1519
6.216667,10.11675
6.233333,10.08722
6.25,10.05717
6.266667,10.03055
6.283333,10.00867
6.3,9.98924
6.316667,9.97061
6.333333,9.95072
6.35,9.94019
6.366667,9.94696
6.383333,9.94728
6.4,9.933
6.416667,9.91698
6.433333,9.90071
6.45,9.88506
6.466667,9.87084
6.483333,9.86544
6.5,9.85749
6.516667,9.85312
6.533333,9.84496
6.55,9.83997
6.566667,9.83636
6.583333,9.83298
6.6,9.82992
6.616667,9.82739
6.633333,9.82524
6.65,9.82329
6.666667,9.82199
6.683333,9.82033
6.7,9.81876
6.716667,9.81782
6.733333,9.81717
6.75,9.81626
6.766667,9.81502
6.783333,9.81386
6.8,9.81296
6.816667,9.8125
6.833333,9.81198
6.85,9.81138
6.866667,9.811
6.883333,9.8105
6.9,9.81017
6.916667,9.81001
6.933333,9.80988
6.95,9.80952
6.966667,9.80924
6.983333,9.80914
7,9.80908
7.016667,9.80871
7.033333,9.80848
7.05,9.80848
7.066667,9.80865
7.083333,9.8087
7.1,9.80878
7.116667,9.80885
7.133333,9.8088
7.15,9.80883
7.166667,9.80904
7.183333,9.80921
7.2,9.80935
7.216667,9.80963
7.233333,9.80985
7.25,9.81006
7.266667,9.81013
7.283333,9.81032
7.3,9.81039
7.316667,9.81054
7.333333,9.81076
7.35,9.81096
7.366667,9.81116
7.383333,9.81143
7.4,9.81159
7.416667,9.81167
7.433333,9.81167
7.45,9.81166
7.466667,9.81178
7.483333,9.81194
7.5,9.81194
7.516667,9.81203
7.533333,9.81192
7.55,9.81192
7.566667,9.81198
7.583333,9.8119
7.6,9.81229
7.616667,9.81276
7.633333,9.81283
7.65,9.81281
7.666667,9.8129
7.683333,9.81288
7.7,9.81272
7.716667,9.81276
7.733333,9.813
7.75,9.81306
7.766667,9.81329
7.783333,9.8138
7.8,9.81381
7.816667,9.81391
7.833333,9.81353
7.85,9.81335
7.866667,9.81342
7.883333,9.81382
7.9,9.81381
7.916667,9.81275
7.933333,9.81682
7.95,9.82721
7.966667,9.83369
7.983333,9.83043
8,9.82736
8.016667,9.82447
8.033333,9.82219
8.05,9.82079
8.066667,9.82008
8.083333,9.81943
8.1,9.81917
8.116667,9.81897
8.133333,9.81868
8.15,9.8179
8.166667,9.81727
8.183333,9.81674
8.2,9.81629
8.216667,9.81616
8.233333,9.81614
8.25,9.81616
8.266667,9.81634
8.283333,9.81638
8.3,9.81634
8.316667,9.81615
8.333333,9.81579
8.35,9.81559
8.366667,9.81552
8.383333,9.81524
8.4,9.81497
8.416667,9.81478
8.433333,9.81468
8.45,9.81447
8.466667,9.81385
8.483333,9.81229
8.5,9.81079
8.516667,9.81272
8.533333,9.81796
8.55,9.82828
8.566667,9.87161
8.583333,9.9449
8.6,10.03467
8.616667,10.10897
8.633333,10.152
8.65,10.17035
8.666667,10.16581
8.683333,10.14455
8.7,10.11989
8.716667,10.09285
8.733333,10.06444
8.75,10.03839
8.766667,10.01548
8.783333,9.99674
8.8,9.97945
8.816667,9.96314
8.833333,9.94548
8.85,9.93052
8.866667,9.91961
8.883333,9.9079
8.9,9.89717
8.916667,9.88604
8.933333,9.8757
8.95,9.86575
8.966667,9.85808
8.983333,9.85321
9,9.84638
9.016667,9.84349
9.033333,9.83872
9.05,9.83566
9.066667,9.83037
9.083333,9.82799
9.1,9.82595
9.116667,9.82337
9.133333,9.82109
9.15,9.81942
9.166667,9.81805
9.183333,9.81708
9.2,9.81591
9.216667,9.81491
9.233333,9.8141
9.25,9.81364
9.266667,9.81265
9.283333,9.81156
9.3,9.81097
9.316667,9.81058
9.333333,9.81021
9.35,9.80997
9.366667,9.80972
9.383333,9.80945
9.4,9.80918
9.416667,9.80894
9.433333,9.80893
9.45,9.80886
9.466667,9.80871
9.483333,9.80848
9.5,9.80823
9.516667,9.80812
9.533333,9.80799
9.55,9.80788
9.566667,9.80789
9.583333,9.80801
9.6,9.80825
9.616667,9.8084
9.633333,9.80831
9.65,9.80816
9.666667,9.80819
9.683333,9.80799
9.7,9.8078
9.716667,9.80796
9.733333,9.80823
9.75,9.80825
9.766667,9.8084
9.783333,9.80877
9.8,9.80931
9.816667,9.80958
9.833333,9.80946
9.85,9.80945
9.866667,9.80953
9.883333,9.80942
9.9,9.80932
9.916667,9.80908
9.933333,9.80906
9.95,9.80908
9.966667,9.80946
9.983333,9.80975
10,9.80974
10.016667,9.80963
10.033333,9.80961
10.05,9.80948
10.066667,9.80943
10.083333,9.80953
10.1,9.80956
10.116667,9.8093
10.133333,9.8092
10.15,9.80919
10.166667,9.80918
10.183333,9.80924
10.2,9.80908
10.216667,9.80906
10.233333,9.80915
10.25,9.80931
10.266667,9.8093
10.283333,9.80929
10.3,9.80909
10.316667,9.80901
10.333333,9.80896
10.35,9.8092
10.366667,9.80945
10.383333,9.80972
10.4,9.80976
10.416667,9.80981
10.433333,9.80983
10.45,9.80991
10.466667,9.80997
10.483333,9.81023
10.5,9.81045
10.516667,9.81077
10.533333,9.81103
10.55,9.81089
10.566667,9.8107
10.583333,9.81094
10.6,9.81127
10.616667,9.8113
10.633333,9.81125
10.65,9.81101
10.666667,9.81067
10.683333,9.8105
10.7,9.81034
10.716667,9.81023
10.733333,9.8099
10.75,9.80979
10.766667,9.80971
10.783333,9.80948
10.8,9.80936
10.816667,9.80924
10.833333,9.80899
10.85,9.80895
10.866667,9.80898
10.883333,9.80865
10.9,9.80834
10.916667,9.80832
10.933333,9.80816
10.95,9.80838
10.966667,9.80873
10.983333,9.80893
11,9.80801
11.016667,9.80999
11.033333,9.8113
11.05,9.81475
11.066667,9.84489
11.083333,9.90493
11.1,9.97475
11.116667,10.04047
11.133333,10.0788
11.15,10.09881
11.166667,10.10137
11.183333,10.0895
11.2,10.06937
11.216667,10.04515
11.233333,10.0241
11.25,10.00854
11.266667,9.98754
11.283333,9.97589
11.3,9.96063
11.316667,9.94439
11.333333,9.93181
11.35,9.91908
11.366667,9.90762
11.383333,9.89798
11.4,9.88804
11.416667,9.87585
11.433333,9.86968
11.45,9.86551
11.466667,9.85396
11.483333,9.84715
11.5,9.84289
11.516667,9.83989
11.533333,9.83657
11.55,9.83243
11.566667,9.82834
11.583333,9.82499
11.6,9.82279
11.616667,9.82074
11.633333,9.81893
11.65,9.81742
11.666667,9.81601
11.683333,9.81482
11.7,9.81397
11.716667,9.81308
11.733333,9.81191
11.75,9.81041
11.766667,9.809
11.783333,9.80808
11.8,9.80736
11.816667,9.80672
11.833333,9.80647
11.85,9.80645
11.866667,9.80556
11.883333,9.80173
11.9,9.81618
11.916667,9.83667
11.933333,9.84526
11.95,9.8411
11.966667,9.83294
11.983333,9.82297
12,9.81899
12.016667,9.8153
12.033333,9.81387
12.05,9.81315
12.066667,9.81154
12.083333,9.81024
12.1,9.80912
12.116667,9.80847
12.133333,9.80763
12.15,9.80742
12.166667,9.80708
12.183333,9.80677
12.2,9.80666
12.216667,9.80632
12.233333,9.80576
12.25,9.80576
12.266667,9.80548
12.283333,9.80528
12.3,9.80524
12.316667,9.80527
12.333333,9.80523
12.35,9.80515
12.366667,9.80535
12.383333,9.80559
12.4,9.80552
12.416667,9.80532
12.433333,9.80504
12.45,9.80506
12.466667,9.80513
12.483333,9.8051
12.5,9.80489
12.516667,9.80469
