1mM Cacl2 0.1mM EDTA Group B 21723_X,1mM Cacl2 0.1mM EDTA Group B 21723_Y
5.516667,9.77565
5.533333,9.77564
5.55,9.7758
5.566667,9.77569
5.583333,9.77568
5.6,9.77565
5.616667,9.77535
5.633333,9.77473
5.65,9.7744
5.666667,9.77413
5.683333,9.77384
5.7,9.77388
5.716667,9.77397
5.733333,9.77411
5.75,9.77412
5.766667,9.77389
5.783333,9.7737
5.8,9.77355
5.816667,9.77327
5.833333,9.77309
5.85,9.77311
5.866667,9.77266
5.883333,9.77215
5.9,9.77193
5.916667,9.7718
5.933333,9.77191
5.95,9.7726
5.966667,9.77288
5.983333,9.77368
6,9.7752
6.016667,9.77889
6.033333,9.77465
6.05,9.69154
6.066667,9.53612
6.083333,9.33591
6.1,9.14022
6.116667,9.01066
6.133333,8.95955
6.15,8.9761
6.166667,9.02782
6.183333,9.10204
6.2,9.18442
6.216667,9.26368
6.233333,9.32981
6.25,9.39066
6.266667,9.44033
6.283333,9.48249
6.3,9.51722
6.316667,9.54545
6.333333,9.56939
6.35,9.59002
6.366667,9.60673
6.383333,9.62332
6.4,9.64216
6.416667,9.65656
6.433333,9.66839
6.45,9.68154
6.466667,9.69019
6.483333,9.69905
6.5,9.70508
6.516667,9.71037
6.533333,9.71504
6.55,9.72001
6.566667,9.72437
6.583333,9.72857
6.6,9.73264
6.616667,9.73654
6.633333,9.74076
6.65,9.74377
6.666667,9.74589
6.683333,9.74808
6.7,9.74957
6.716667,9.751
6.733333,9.75251
6.75,9.75433
6.766667,9.75563
6.783333,9.75701
6.8,9.75855
6.816667,9.75997
6.833333,9.76065
6.85,9.76133
6.866667,9.76214
6.883333,9.76299
6.9,9.76378
6.916667,9.76433
6.933333,9.76481
6.95,9.76531
6.966667,9.76591
6.983333,9.76646
7,9.76702
7.016667,9.76737
7.033333,9.76756
7.05,9.76789
7.066667,9.76817
7.083333,9.7684
7.1,9.76861
7.116667,9.7689
7.133333,9.7689
7.15,9.76885
7.166667,9.76906
7.183333,9.76918
7.2,9.76912
7.216667,9.76904
7.233333,9.76907
7.25,9.76915
7.266667,9.76919
7.283333,9.76921
7.3,9.7691
7.316667,9.76906
7.333333,9.76928
7.35,9.76941
7.366667,9.76934
7.383333,9.76925
7.4,9.76924
7.416667,9.7692
7.433333,9.76922
7.45,9.7692
7.466667,9.76925
7.483333,9.7694
7.5,9.76925
7.516667,9.76921
7.533333,9.76927
7.55,9.76937
7.566667,9.76949
7.583333,9.76948
7.6,9.76948
7.616667,9.7694
7.633333,9.76958
7.65,9.76961
7.666667,9.76949
7.683333,9.76935
7.7,9.76917
7.716667,9.76916
7.733333,9.7692
7.75,9.76909
7.766667,9.76907
7.783333,9.7691
7.8,9.76916
7.816667,9.76928
7.833333,9.7695
7.85,9.76982
7.866667,9.76994
7.883333,9.76988
7.9,9.76983
7.916667,9.76986
7.933333,9.77002
7.95,9.77024
7.966667,9.77046
7.983333,9.7707
8,9.77091
8.016667,9.77096
8.033333,9.77106
8.05,9.77108
8.066667,9.77093
8.083333,9.7708
8.1,9.77064
8.116667,9.77043
8.133333,9.77026
8.15,9.77015
8.166667,9.77001
8.183333,9.76997
8.2,9.76997
8.216667,9.76984
8.233333,9.76953
8.25,9.76929
8.266667,9.7689
8.283333,9.76881
8.3,9.76861
8.316667,9.76823
8.333333,9.76793
8.35,9.76779
8.366667,9.76769
8.383333,9.76778
8.4,9.76787
8.416667,9.76783
8.433333,9.76716
8.45,9.76712
8.466667,9.76813
8.483333,9.76856
8.5,9.76799
8.516667,9.76832
8.533333,9.76109
8.55,9.69028
8.566667,9.55583
8.583333,9.37985
8.6,9.20054
8.616667,9.08202
8.633333,9.02778
8.65,9.02933
8.666667,9.0646
8.683333,9.12206
8.7,9.18909
8.716667,9.2573
8.733333,9.32504
8.75,9.38121
8.766667,9.4303
8.783333,9.47493
8.8,9.51117
8.816667,9.5396
8.833333,9.56392
8.85,9.58701
8.866667,9.60903
8.883333,9.62693
8.9,9.6397
8.916667,9.65478
8.933333,9.66512
8.95,9.67497
8.966667,9.68747
8.983333,9.69356
9,9.70139
9.016667,9.70709
9.033333,9.71348
9.05,9.71934
9.066667,9.72334
