Phloroglucinol,,
Wavelength (nm),Intensity (a.u.),
290,328.2690125,
291.0700073,251.1826782,
292,188.8931274,
293.0700073,119.9449539,
294,67.06482697,
295.0700073,41.02184296,
296,30.41446114,
297.0700073,28.74363518,
298,30.7013855,
299.0700073,29.63440704,
300,33.55675125,
301.0700073,30.95293045,
302,29.40727425,
303.0700073,31.54907417,
304,33.68265915,
305.0700073,31.23946953,
306,34.11972809,
307.0700073,35.90898895,
308,33.61198425,
309.0700073,34.65771866,
310,38.85116959,
311.0700073,37.53929138,
312,40.37044907,
313.0700073,47.29953003,
314,49.54020309,
315.0700073,59.19645691,
316,67.35560608,
317.0700073,77.88452911,
318,83.57023621,
319.0700073,88.87610626,
320,92.97900391,
321.0700073,98.17441559,
322,97.63665009,
323.0700073,91.50842285,
324,91.78112793,
325.0700073,92.68679047,
326,95.31652832,
327.0700073,101.7263031,
328,107.513916,
329.0700073,111.865654,
330,119.632637,
331.0700073,121.4193802,
332,131.1941986,
333.0700073,135.4992828,
334,139.1941071,
335.0700073,148.2544098,
336,159.7001343,
337.0700073,165.4454346,
338,170.614563,
339.0700073,179.2215118,
340,182.275177,
341.0700073,184.4264374,
342,193.2244415,
343.0700073,202.69104,
344,209.3269653,
345.0700073,213.4580688,
346,218.7796478,
347.0700073,223.5401154,
348,230.0004272,
349.0700073,234.6042023,
350,239.9746246,
351.0700073,243.6331482,
352,247.4292145,
353.0700073,252.4112091,
354,251.2583466,
355.0700073,257.824646,
356,259.453125,
357.0700073,262.3624878,
358,259.3731689,
359.0700073,268.1721191,
360,271.8946533,
361.0599976,263.8226929,
361.9599915,271.0101318,
363.0299988,274.6344299,
363.9299927,278.3135986,
365,268.3718262,
366.0599976,270.2679443,
366.9599915,276.6784668,
368.0299988,275.3515015,
368.9299927,274.0576782,
370,272.0237122,
371.0700073,269.0180969,
372,271.1656494,
373.0700073,267.5274048,
374,267.3098145,
375.0700073,268.7728271,
376,270.0949402,
377.0700073,267.7854614,
378,268.7556152,
379.0700073,264.9857788,
380,259.4393311,
381.0599976,258.9848328,
381.9599915,258.6159363,
383.0299988,257.9386597,
383.9299927,258.1016846,
385,249.7170105,
386.0599976,252.622879,
386.9599915,262.4849854,
388.0299988,247.6594849,
388.9299927,253.364563,
390,247.4625244,
391.0700073,253.3743744,
392,250.6352997,
393.0700073,251.1380615,
394,245.2421417,
395.0700073,243.6288757,
396,242.622406,
397.0700073,243.3878326,
398,238.3760223,
399.0700073,233.1635742,
400,234.9098053,
401.0599976,234.7543793,
401.9599915,236.8588104,
403.0299988,230.7584534,
403.9299927,227.037384,
405,227.161087,
406.0599976,223.6942902,
406.9599915,228.9399719,
408.0299988,225.2757263,
408.9299927,225.0433655,
410,217.2022705,
411.0599976,216.2955627,
411.9599915,217.5171204,
413.0299988,216.4451599,
413.9299927,215.6042938,
415,213.0334167,
416.0599976,204.2957611,
416.9599915,211.5452576,
418.0299988,210.6549988,
418.9299927,195.9922791,
420,201.7311096,
421.0599976,196.0311737,
421.9599915,189.9428253,
423.0299988,189.9073486,
423.9299927,189.2468109,
425,182.1007996,
426.0599976,187.7365723,
426.9599915,178.6243896,
428.0299988,179.8789063,
428.9299927,171.3833923,
430,167.0260162,
431.0599976,161.9487305,
431.9599915,165.6157684,
433.0299988,159.1056366,
433.9299927,160.0305634,
435,150.9438019,
436.0599976,153.7163239,
436.9599915,146.5626373,
438.0299988,148.5319824,
438.9299927,144.6991882,
440,145.1662903,
441.0599976,146.8508759,
441.9599915,141.6474457,
443.0299988,139.5141754,
443.9299927,140.9950104,
445,132.8000946,
446.0599976,136.6577759,
446.9599915,132.6352692,
448.0299988,132.5315704,
448.9299927,128.9556732,
450,125.6705093,
451.0400085,124.821434,
451.9400024,130.1377869,
452.980011,121.0100403,
454.019989,125.5228348,
455.0700073,121.0956192,
455.9700012,117.6016235,
457.0100098,114.1646118,
458.0499878,114.7335281,
458.9500122,113.0210495,
460,109.6044083,
461.0599976,109.5772324,
461.9599915,108.8412018,
463.0299988,106.5699615,
463.9299927,103.8806686,
465,96.8733139,
466.0599976,100.9576721,
466.9599915,96.39213562,
468.0299988,95.7041626,
468.9299927,88.45917511,
470,91.24347687,
471.0400085,86.97631836,
471.9400024,84.56629944,
472.980011,85.11537933,
474.019989,80.27220154,
475.0700073,80.07444763,
475.9700012,78.73503113,
477.0100098,76.58629608,
478.0499878,76.00093079,
478.9500122,74.84085083,
480,72.99562073,
481.0599976,70.35058594,
481.9599915,69.57201385,
483.0299988,67.37985992,
483.9299927,65.71016693,
485,62.78937149,
486.0599976,62.25265884,
486.9599915,63.51580429,
488.0299988,57.37415695,
488.9299927,58.07226563,
490,54.12268829,
491.0400085,57.25453568,
491.9400024,54.41828537,
492.980011,55.28604507,
494.019989,51.20181656,
495.0700073,52.12816238,
495.9700012,46.76675797,
497.0100098,49.23461533,
498.0499878,46.69314194,
498.9500122,45.28983688,
500,43.14952087,
501.0400085,41.32240295,
501.9400024,40.72359848,
502.980011,44.68236542,
504.019989,39.29854584,
505.0700073,40.84301376,
505.9700012,38.75809479,
507.0100098,37.84872818,
508.0499878,34.4971962,
508.9500122,33.30878448,
510,34.82318497,
511.019989,32.10086823,
512.0499878,32.66065216,
512.9400024,33.09703064,
513.9699707,31.1577034,
515,31.03978539,
516.0200195,28.96307182,
517.0499878,29.26834488,
517.9400024,27.42655563,
518.9699707,27.89947128,
520,27.52475929,
521.039978,26.37775803,
521.9400024,25.64075089,
522.9799805,24.058424,
524.0200195,24.60245705,
525.0700073,22.43976784,
525.9699707,24.32636452,
527.0100098,21.08021736,
528.0499878,22.65613937,
528.9500122,21.21596146,
530,20.4192543,
531.039978,19.04001617,
531.9400024,19.05364799,
532.9799805,18.62038422,
534.0200195,18.43979263,
535.0700073,18.56078911,
535.9699707,19.71926498,
537.0100098,16.69195747,
538.0499878,16.45520592,
538.9500122,16.74514198,
540,16.82114983,
541.0200195,15.25658798,
542.0499878,15.92190361,
542.9400024,15.99253368,
543.9699707,14.680233,
545,13.85313702,
546.0200195,12.30597591,
547.0499878,13.17678738,
547.9400024,12.84268761,
548.9699707,13.29866886,
550,11.5668869,
551.0200195,12.55774498,
552.0499878,11.89848614,
552.9400024,12.86878395,
553.9699707,12.01119995,
555,10.81021786,
556.0200195,11.98727131,
557.0499878,9.696107864,
557.9400024,10.18372917,
558.9699707,9.177124977,
560,9.996582985,
561.0200195,9.538624763,
562.0499878,8.959913254,
562.9400024,8.926838875,
563.9699707,8.660800934,
565,8.638569832,
566.0200195,10.30061626,
567.0499878,12.74824429,
567.9400024,17.73143578,
568.9699707,24.16761017,
570,41.00361252,
571.0200195,67.01281738,
572.0499878,102.0342712,
572.9400024,135.1565857,
573.9699707,178.3940887,
575,206.2920837,
576.0200195,231.7848206,
577.0499878,248.0594788,
577.9400024,258.5042725,
578.9699707,257.6537781,
580,250.7565918,
581.0100098,228.9321442,
582.0200195,192.8086243,
583.039978,155.6144562,
584.0499878,104.7464371,
585.0700073,66.05117035,
585.9400024,43.49084473,
586.9500122,31.47989082,
587.9699707,18.94399071,
588.9799805,15.65751648,
590,15.56859207,
591.0200195,13.6078968,
592.0499878,12.62979126,
592.9400024,12.78641891,
593.9699707,13.28096199,
595,14.50647545,
596.0200195,12.03515148,
597.0499878,12.74683094,
597.9400024,12.16137314,
598.9699707,12.64412117,
600,11.2786665,
601.0100098,10.9591465,
602.0200195,11.99068642,
603.039978,11.6465168,
604.0499878,11.5554781,
605.0700073,11.77618885,
605.9400024,12.20659256,
606.9500122,9.817411423,
607.9699707,11.85922432,
608.9799805,11.20014191,
610,11.80990601,
611.0100098,11.65614414,
612.0200195,10.89233303,
613.039978,11.83438206,
614.0499878,9.887093544,
615.0700073,10.5239439,
615.9400024,10.2940855,
616.9500122,10.09774685,
617.9699707,9.549020767,
618.9799805,10.00264072,
620,9.900885582,
621.0100098,9.607569695,
622.0200195,10.01579666,
623.039978,8.829597473,
624.0499878,10.95494652,
625.0700073,10.08390808,
625.9400024,9.716114044,
626.9500122,10.69633579,
627.9699707,10.7778616,
628.9799805,9.645964622,
630,12.38548183,
631.0100098,12.4605341,
632.0200195,13.62012482,
633.039978,16.43669891,
634.0499878,15.95156479,
635.0700073,17.3079586,
635.9400024,17.48650169,
636.9500122,21.04156876,
637.9699707,20.29959869,
638.9799805,20.27322388,
640,21.75676918,
641,20.62221336,
642,19.33730698,
643,20.31279564,
644,19.71376038,
645,19.86295509,
646,20.15375137,
647,17.45457649,
648,16.91879845,
649,17.24324036,
650,14.92030811,
651.0100098,14.724123,
652.0200195,15.06498909,
653.039978,14.99037457,
654.0499878,13.65001965,
655.0700073,13.74318504,
655.9400024,16.05080605,
656.9500122,16.24954796,
657.9699707,15.11521721,
658.9799805,17.05454636,
660,15.8405714,
661,14.08480644,
662,16.52963257,
663,17.12605095,
664,18.07722282,
665,16.48464012,
666,19.26709938,
667,17.78739548,
668,21.19570923,
669,20.23146629,
670,18.41346169,
671,19.94561195,
672,20.0033474,
673,18.4858799,
674,18.69834709,
675,19.53742981,
676,19.89047623,
677,20.82176971,
678,19.84105492,
679,19.9362812,
680,19.79156685,
680.9799805,22.51395416,
681.9699707,20.81586266,
682.9500122,19.4698925,
683.9400024,20.49610901,
685.0700073,21.89209557,
686.0499878,19.08849525,
687.039978,21.89750481,
688.0200195,21.40577126,
689.0100098,21.21552277,
690,20.26602936,
691,22.80067444,
692,22.12050247,
693,21.20483971,
694,20.32769394,
695,19.96156693,
696,20.6159668,
697,22.17106438,
698,21.90731239,
699,20.26306915,
700,22.21860886,

Phloroglucinol,
Phloroglucinol
Collection Time: 4/28/2025 1:10:07 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY17430002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        290.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               288.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/28/2025 9:34:43 AM
Method Modifications:
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 9:36:35 AM, Old:600, New:800
Ex. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Em. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Emission PMT (V): Changed: 4/28/2025 9:36:35 AM, Old: 600, New: 800
