Resorcinol,,
Wavelength (nm),Intensity (a.u.),
290,86.86287689,
291.0700073,136.8720093,
292,188.7294617,
293.0700073,249.0751953,
294,313.4417114,
295.0700073,380.6724548,
296,433.7916565,
297.0700073,478.7030945,
298,518.2210693,
299.0700073,550.5648193,
300,565.8922729,
301.0700073,584.9514771,
302,596.5790405,
303.0700073,617.9044189,
304,617.5487061,
305.0700073,618.5339355,
306,619.7420654,
307.0700073,612.1763916,
308,613.795166,
309.0700073,612.1463623,
310,600.6358643,
311.0700073,589.4771729,
312,577.6195068,
313.0700073,568.0997314,
314,556.5279541,
315.0700073,551.6146851,
316,537.5109253,
317.0700073,517.2958374,
318,502.2907715,
319.0700073,486.2669373,
320,474.8751831,
321.0700073,459.3411255,
322,444.1188049,
323.0700073,427.9119568,
324,411.7019348,
325.0700073,396.008728,
326,387.4990234,
327.0700073,363.7364502,
328,353.0546265,
329.0700073,341.7226868,
330,331.8735657,
331.0700073,312.9082642,
332,309.4788513,
333.0700073,293.6010437,
334,281.8863831,
335.0700073,269.0684509,
336,259.2754211,
337.0700073,245.338089,
338,239.4634247,
339.0700073,225.4150085,
340,219.8209229,
341.0700073,209.4768524,
342,201.9088593,
343.0700073,191.5441589,
344,186.8633575,
345.0700073,176.8552399,
346,168.8804016,
347.0700073,164.1144257,
348,157.3971558,
349.0700073,150.6713562,
350,144.4855499,
351.0700073,138.8773651,
352,136.1258392,
353.0700073,126.5869675,
354,123.8830032,
355.0700073,115.9890594,
356,111.686348,
357.0700073,107.5891113,
358,102.2853088,
359.0700073,96.28449249,
360,96.02422333,
361.0599976,93.29452515,
361.9599915,87.98019409,
363.0299988,82.26207733,
363.9299927,80.18756104,
365,77.68805695,
366.0599976,73.28205109,
366.9599915,70.61328125,
368.0299988,67.93521881,
368.9299927,66.18584442,
370,61.96066284,
371.0700073,58.86959076,
372,56.26056671,
373.0700073,53.6866951,
374,50.98327637,
375.0700073,49.81611633,
376,46.69216537,
377.0700073,44.70437241,
378,42.64355469,
379.0700073,40.96957016,
380,39.5789299,
381.0599976,37.41796875,
381.9599915,36.12817001,
383.0299988,35.12783051,
383.9299927,33.34777832,
385,31.84488678,
386.0599976,30.16877174,
386.9599915,28.60448837,
388.0299988,27.11376762,
388.9299927,26.71248817,
390,25.1163044,
391.0700073,24.14363098,
392,23.10238075,
393.0700073,21.92238617,
394,21.02190399,
395.0700073,19.91294861,
396,19.45260811,
397.0700073,17.71121597,
398,17.08505249,
399.0700073,16.63072586,
400,16.22585678,
401.0599976,15.36009789,
401.9599915,15.04684639,
403.0299988,14.07344532,
403.9299927,13.43533516,
405,12.81259632,
406.0599976,11.98732471,
406.9599915,11.88602352,
408.0299988,11.54028702,
408.9299927,10.91462898,
410,10.67244625,
411.0599976,10.16746998,
411.9599915,9.793800354,
413.0299988,9.294456482,
413.9299927,8.746631622,
415,8.405118942,
416.0599976,8.088440895,
416.9599915,7.55837059,
418.0299988,7.361075401,
418.9299927,7.127248764,
420,6.50279665,
421.0599976,6.424895287,
421.9599915,5.916898727,
423.0299988,5.859274387,
423.9299927,5.915777683,
425,5.102475643,
426.0599976,5.060099125,
426.9599915,4.737909317,
428.0299988,4.904074669,
428.9299927,4.399804592,
430,4.285083771,
431.0599976,4.092141628,
431.9599915,4.060795784,
433.0299988,3.7819345,
433.9299927,3.641042471,
435,3.471788406,
436.0599976,3.501019478,
436.9599915,3.113293648,
438.0299988,3.15318203,
438.9299927,2.912981987,
440,2.951145411,
441.0599976,2.90059042,
441.9599915,2.63027215,
443.0299988,2.646109343,
443.9299927,2.71603632,
445,2.425061226,
446.0599976,2.240278482,
446.9599915,2.368154287,
448.0299988,2.404562473,
448.9299927,2.28287077,
450,2.216281652,
451.0400085,2.028140783,
451.9400024,2.033679247,
452.980011,2.044162273,
454.019989,1.856191993,
455.0700073,1.912944674,
455.9700012,1.694500327,
457.0100098,1.687886715,
458.0499878,1.730557323,
458.9500122,1.555611968,
460,1.6623137,
461.0599976,1.623110771,
461.9599915,1.548494577,
463.0299988,1.399381161,
463.9299927,1.407692909,
465,1.387389898,
466.0599976,1.216169119,
466.9599915,1.238494396,
468.0299988,1.19135344,
468.9299927,1.217511535,
470,1.149737,
471.0400085,1.195593596,
471.9400024,1.127503753,
472.980011,1.136292338,
474.019989,1.135336757,
475.0700073,0.9587370753,
475.9700012,1.061331511,
477.0100098,1.014758468,
478.0499878,0.9319030643,
478.9500122,1.004482985,
480,0.828840673,
481.0599976,0.9141603112,
481.9599915,0.8342960477,
483.0299988,0.8418784738,
483.9299927,0.9130693078,
485,0.9603418708,
486.0599976,0.785579145,
486.9599915,0.8313917518,
488.0299988,0.8907660842,
488.9299927,0.6850732565,
490,0.8511170745,
491.0400085,0.7506017089,
491.9400024,0.8425001502,
492.980011,0.6952954531,
494.019989,0.7640913725,
495.0700073,0.781401217,
495.9700012,0.6515160799,
497.0100098,0.5260064006,
498.0499878,0.5525329113,
498.9500122,0.714225471,
500,0.6563199759,
501.0400085,0.5583007932,
501.9400024,0.6693069935,
502.980011,0.5780558586,
504.019989,0.5293153524,
505.0700073,0.5417311192,
505.9700012,0.627555728,
507.0100098,0.4528716207,
508.0499878,0.5603835583,
508.9500122,0.5272477865,
510,0.537122488,
511.019989,0.5576034188,
512.0499878,0.5538803935,
512.9400024,0.4847099185,
513.9699707,0.4753029346,
515,0.5142245889,
516.0200195,0.4864618778,
517.0499878,0.5144692063,
517.9400024,0.4700542092,
518.9699707,0.4616598487,
520,0.4870639443,
521.039978,0.4999977946,
521.9400024,0.5736920238,
522.9799805,0.4777680039,
524.0200195,0.434843719,
525.0700073,0.4270262718,
525.9699707,0.5159565806,
527.0100098,0.3681787252,
528.0499878,0.4303948879,
528.9500122,0.5021213293,
530,0.4543523192,
531.039978,0.4046620727,
531.9400024,0.3914999366,
532.9799805,0.4143667817,
534.0200195,0.4334460497,
535.0700073,0.394833684,
535.9699707,0.462731421,
537.0100098,0.5162205696,
538.0499878,0.4007102251,
538.9500122,0.293438375,
540,0.4660110474,
541.0200195,0.3814937472,
542.0499878,0.4802549481,
542.9400024,0.4901020527,
543.9699707,0.4648286104,
545,0.3735471964,
546.0200195,0.5029732585,
547.0499878,0.3850182891,
547.9400024,0.4336116314,
548.9699707,0.5182994008,
550,0.4329280853,
551.0200195,0.4475293756,
552.0499878,0.445807457,
552.9400024,0.4220291972,
553.9699707,0.4276024699,
555,0.341391325,
