Resorcinol,,
Wavelength (nm),Intensity (a.u.),
290,87.21774292,
291.0700073,138.2845306,
292,185.6630249,
293.0700073,253.8353729,
294,312.5597534,
295.0700073,376.2626343,
296,434.6073914,
297.0700073,476.9955139,
298,514.0559082,
299.0700073,549.3386841,
300,556.8850708,
301.0700073,587.5332642,
302,606.8414307,
303.0700073,605.4703369,
304,614.7298584,
305.0700073,617.1903687,
306,621.1380005,
307.0700073,621.2856445,
308,620.2594604,
309.0700073,608.2414551,
310,596.9049072,
311.0700073,585.7197266,
312,579.7459106,
313.0700073,568.5280762,
314,562.5084229,
315.0700073,544.1485596,
316,534.6699219,
317.0700073,519.2478638,
318,502.1095276,
319.0700073,484.8813477,
320,473.940918,
321.0700073,460.606781,
322,444.6871338,
323.0700073,424.7807007,
324,412.8575745,
325.0700073,397.2871094,
326,384.9046631,
327.0700073,374.530365,
328,354.2128296,
329.0700073,341.013092,
330,332.2547607,
331.0700073,318.7706299,
332,305.0265198,
333.0700073,292.5833435,
334,284.2359314,
335.0700073,270.2099304,
336,260.9193726,
337.0700073,248.8623657,
338,237.7850952,
339.0700073,228.4978638,
340,223.655777,
341.0700073,210.1409302,
342,201.8180847,
343.0700073,194.3959351,
344,187.4129791,
345.0700073,177.5509338,
346,173.0845642,
347.0700073,161.5789642,
348,156.7784729,
349.0700073,150.1346283,
350,144.0317841,
351.0700073,139.8095856,
352,132.8778076,
353.0700073,126.5473328,
354,121.254158,
355.0700073,114.875412,
356,111.3388367,
357.0700073,106.5653229,
358,103.063385,
359.0700073,95.62201691,
360,94.78927612,
361.0599976,92.66310883,
361.9599915,88.83882904,
363.0299988,85.8969574,
363.9299927,82.60964203,
365,76.986763,
366.0599976,73.55776215,
366.9599915,70.96749115,
368.0299988,68.44334412,
368.9299927,64.91671753,
370,61.28130341,
371.0700073,58.40158844,
372,55.80852509,
373.0700073,53.56544113,
374,51.37637329,
375.0700073,50.01625824,
376,46.58050919,
377.0700073,45.64279175,
378,42.67122269,
379.0700073,41.02130508,
380,40.01403427,
381.0599976,37.62273026,
381.9599915,36.96556854,
383.0299988,34.09960938,
383.9299927,32.8450737,
385,30.99077606,
386.0599976,29.84660912,
386.9599915,28.55490494,
388.0299988,27.45398521,
388.9299927,25.7428093,
390,25.21449471,
391.0700073,22.97611237,
392,23.50390434,
393.0700073,22.46061325,
394,20.90245438,
395.0700073,20.2165451,
396,19.16394806,
397.0700073,18.25928688,
398,17.36521339,
399.0700073,16.61864471,
400,15.31022358,
401.0599976,15.31708241,
401.9599915,14.99371052,
403.0299988,14.07908821,
403.9299927,13.68552303,
405,13.18398762,
406.0599976,12.77798653,
406.9599915,11.92492485,
408.0299988,11.65187454,
408.9299927,11.2475214,
410,10.55007076,
411.0599976,10.04281521,
411.9599915,9.453155518,
413.0299988,9.257029533,
413.9299927,8.843444824,
415,8.306694031,
416.0599976,7.859539032,
416.9599915,7.582654476,
418.0299988,7.207155228,
418.9299927,7.165297985,
420,6.732376575,
421.0599976,6.780386448,
421.9599915,5.848267555,
423.0299988,5.966903687,
423.9299927,5.685610771,
425,5.171864986,
426.0599976,5.083878517,
426.9599915,4.748112202,
428.0299988,4.445808411,
428.9299927,4.374331474,
430,4.103221893,
431.0599976,3.990639448,
431.9599915,3.879514933,
433.0299988,3.692728519,
433.9299927,3.798028708,
435,3.727532148,
436.0599976,3.408403873,
436.9599915,3.526096582,
438.0299988,3.088945866,
438.9299927,2.857343912,
440,2.940194368,
441.0599976,2.763078213,
441.9599915,2.75459981,
443.0299988,2.681849957,
443.9299927,2.264817238,
445,2.373546124,
446.0599976,2.497003317,
446.9599915,2.294262171,
448.0299988,2.210328817,
448.9299927,2.325240135,
450,2.141799927,
451.0400085,1.964511991,
451.9400024,1.966511846,
452.980011,1.869207263,
454.019989,1.905551791,
455.0700073,1.838024497,
455.9700012,1.618721604,
457.0100098,1.76940608,
458.0499878,1.584140062,
458.9500122,1.592094064,
460,1.627279639,
461.0599976,1.472103,
461.9599915,1.414885283,
463.0299988,1.340280294,
463.9299927,1.538578033,
465,1.200216532,
466.0599976,1.279140472,
466.9599915,1.274882913,
468.0299988,1.08200264,
468.9299927,1.208660007,
470,1.190040231,
471.0400085,1.041333914,
471.9400024,1.12881434,
472.980011,1.10739553,
474.019989,1.099460721,
475.0700073,1.08501482,
475.9700012,1.030198455,
477.0100098,0.824039638,
478.0499878,0.9916341901,
478.9500122,1.06632185,
480,0.9505628943,
481.0599976,0.8580818772,
481.9599915,0.8104357123,
483.0299988,0.8225021958,
483.9299927,0.8121814132,
485,0.8251388669,
486.0599976,0.8945274949,
486.9599915,0.7216906548,
488.0299988,0.7802049518,
488.9299927,0.9431354403,
490,0.7135028243,
491.0400085,0.8131892085,
491.9400024,0.770318687,
492.980011,0.6537994742,
494.019989,0.6925412416,
495.0700073,0.6644365788,
495.9700012,0.6463845968,
497.0100098,0.6011838913,
498.0499878,0.6695164442,
498.9500122,0.5443116426,
500,0.5649293065,
501.0400085,0.6046125293,
501.9400024,0.5173565745,
502.980011,0.6568847299,
504.019989,0.529566884,
505.0700073,0.5606532693,
505.9700012,0.5120681524,
507.0100098,0.5659470558,
508.0499878,0.4816159606,
508.9500122,0.5732596517,
510,0.5900672078,
511.019989,0.469476819,
512.0499878,0.6488170624,
512.9400024,0.4546704888,
513.9699707,0.5184620023,
515,0.5059477091,
516.0200195,0.5734894276,
517.0499878,0.4903892875,
517.9400024,0.6389555931,
518.9699707,0.4434376955,
520,0.3986616135,
521.039978,0.4274143577,
521.9400024,0.401084125,
522.9799805,0.4552752972,
524.0200195,0.5697954893,
525.0700073,0.4400972724,
525.9699707,0.38707304,
527.0100098,0.4510144591,
528.0499878,0.4381249547,
528.9500122,0.5304113626,
530,0.3896880746,
531.039978,0.4055954814,
531.9400024,0.4643071294,
532.9799805,0.4133917689,
534.0200195,0.3796461225,
535.0700073,0.4455198646,
535.9699707,0.3974209428,
537.0100098,0.5695462227,
538.0499878,0.4277630448,
538.9500122,0.3720015287,
540,0.3366914988,
541.0200195,0.4219828844,
542.0499878,0.3224282265,
542.9400024,0.400451839,
543.9699707,0.3844898343,
545,0.4859690666,
546.0200195,0.4152216911,
547.0499878,0.4825364947,
547.9400024,0.4450143576,
548.9699707,0.4577487111,
550,0.4444230795,
551.0200195,0.4036107659,
552.0499878,0.3630670309,
552.9400024,0.2059130222,
553.9699707,0.4258520603,
555,0.5119909644,
556.0200195,0.4060800076,
557.0499878,0.4064084291,
557.9400024,0.3118700981,
558.9699707,0.4216269255,
560,0.4620437622,
561.0200195,0.4088094831,
562.0499878,0.5288622379,
562.9400024,0.4101034403,
563.9699707,0.3941936493,
565,0.4128482342,
566.0200195,0.4336683154,
567.0499878,0.4728670716,
567.9400024,0.4978879094,
568.9699707,0.5537087917,
570,0.6847501397,
571.0200195,0.6448901296,
572.0499878,0.657525897,
572.9400024,0.854290545,
573.9699707,1.258396149,
575,1.671056032,
576.0200195,2.762420654,
577.0499878,4.480288982,
577.9400024,7.336533546,
578.9699707,11.73993587,
580,17.90453911,
581.0100098,26.57085419,
582.0200195,36.29796219,
583.039978,48.38761902,
584.0499878,60.83918762,
585.0700073,71.94100189,
585.9400024,83.90063477,
586.9500122,95.97484589,
587.9699707,109.8282547,
588.9799805,118.2213593,
590,127.3186722,
591.0200195,135.1254272,
592.0499878,139.92836,
592.9400024,146.3868561,
593.9699707,151.8684235,
595,157.8813477,
596.0200195,157.5174408,
597.0499878,161.4123383,
597.9400024,166.2271881,
598.9699707,167.8566437,
600,167.7431641,
601.0100098,166.3103638,
602.0200195,165.8621674,
603.039978,167.9691315,
604.0499878,163.6365814,
605.0700073,163.7517548,
605.9400024,161.4679718,
606.9500122,163.5209351,
607.9699707,160.5524597,
608.9799805,159.8612976,
610,157.9651337,
611.0100098,156.3825378,
612.0200195,153.2784729,
613.039978,152.0177002,
614.0499878,149.3692017,
615.0700073,146.5651093,
615.9400024,144.8984375,
616.9500122,142.2323151,
617.9699707,138.6358795,
618.9799805,134.8877563,
620,134.7217865,
621.0100098,129.5391541,
