Hydroquinone,,
Wavelength (nm),Intensity (a.u.),
290,0.9155441523,
291.0700073,-0.06742942333,
292,-0.3846314549,
293.0700073,-0.7402194142,
294,-0.9172635078,
295.0700073,-0.9915254116,
296,-0.9856159687,
297.0700073,-1.130051851,
298,-1.093990326,
299.0700073,-1.179583907,
300,-1.117613673,
301.0700073,-1.120762348,
302,-0.8074871898,
303.0700073,-0.9963366985,
304,-0.964164257,
305.0700073,-1.040133715,
306,-1.060535312,
307.0700073,-0.8629965782,
308,-1.060376644,
309.0700073,-0.9115189314,
310,-0.7504784465,
311.0700073,-0.5888065696,
312,-0.1695685387,
313.0700073,0.5276032686,
314,2.976366997,
315.0700073,5.951819897,
316,12.12125874,
317.0700073,19.29470062,
318,28.80293846,
319.0700073,44.21925735,
320,56.19738388,
321.0700073,69.54129028,
322,83.11180878,
323.0700073,93.00689697,
324,107.6346359,
325.0700073,113.1334305,
326,116.0528564,
327.0700073,121.8044128,
328,123.0335846,
329.0700073,123.9899216,
330,127.1469498,
331.0700073,124.3442841,
332,128.4343262,
333.0700073,120.4109268,
334,122.480957,
335.0700073,120.7023163,
336,117.122757,
337.0700073,110.1811752,
338,111.1477585,
339.0700073,107.7237167,
340,102.9850464,
341.0700073,101.6793671,
342,98.69688416,
343.0700073,91.09941101,
344,90.05627441,
345.0700073,88.32854462,
346,84.3859024,
347.0700073,84.06219482,
348,77.6643219,
349.0700073,77.40695953,
350,73.69076538,
351.0700073,68.06308746,
352,70.40975952,
353.0700073,64.57494354,
354,63.7576561,
355.0700073,57.87038803,
356,57.83716583,
357.0700073,53.87647247,
358,53.48383331,
359.0700073,50.70943451,
360,45.98646545,
361.0599976,42.9584198,
361.9599915,44.1917305,
363.0299988,38.84654617,
363.9299927,38.80370331,
365,38.9213829,
366.0599976,34.75364304,
366.9599915,31.77442932,
368.0299988,32.39645386,
368.9299927,30.53632545,
370,29.1927948,
371.0700073,25.53881454,
372,25.12931252,
373.0700073,24.77234077,
374,23.03329468,
375.0700073,19.9438591,
376,19.88849449,
377.0700073,18.06996727,
378,16.69081116,
379.0700073,15.94519615,
380,17.37111092,
381.0599976,15.27636337,
381.9599915,14.36172009,
383.0299988,14.06300163,
383.9299927,12.69369602,
385,12.77747059,
386.0599976,12.00366592,
386.9599915,11.82278728,
388.0299988,9.812176704,
388.9299927,11.02383614,
390,8.972706795,
391.0700073,8.332191467,
392,8.905725479,
393.0700073,7.863549709,
394,7.497320652,
395.0700073,6.514788151,
396,6.746480465,
397.0700073,5.776984692,
398,5.083817005,
399.0700073,5.786975384,
400,3.923808098,
401.0599976,3.938058376,
401.9599915,3.004227161,
403.0299988,3.482000351,
403.9299927,3.732383728,
405,3.69842577,
406.0599976,3.464881897,
406.9599915,3.199347019,
408.0299988,3.204857349,
408.9299927,2.403774738,
410,2.217410088,
411.0599976,2.294725418,
411.9599915,2.482339859,
413.0299988,2.334648609,
413.9299927,2.045147419,
415,1.624100566,
416.0599976,2.03246212,
416.9599915,1.357814431,
418.0299988,1.683953404,
418.9299927,1.442566276,
420,0.8872951269,
421.0599976,0.3838272095,
421.9599915,0.5717316866,
423.0299988,0.8574570417,
423.9299927,0.5353798866,
425,0.7257884741,
426.0599976,0.2675231695,
426.9599915,0.4399873018,
428.0299988,0.4928600788,
428.9299927,0.2975395918,
430,0.3274885416,
