Pyrogallol,,
Wavelength (nm),Intensity (a.u.),
525.9699707,1.575928688,
527.0100098,2.099315166,
528.0499878,2.306241512,
528.9500122,2.045279503,
530,1.958031654,
531.039978,1.844660044,
531.9400024,1.62204504,
532.9799805,2.131443977,
534.0200195,1.125634193,
535.0700073,1.590420961,
535.9699707,1.617589712,
537.0100098,1.63360405,
538.0499878,0.8305583,
538.9500122,1.400303602,
540,0.8968851566,
541.0200195,1.690361023,
542.0499878,1.765532255,
542.9400024,0.9532234669,
543.9699707,0.2853651047,
545,1.387660027,
546.0200195,1.165089846,
547.0499878,0.4679763317,
547.9400024,0.7611296177,
548.9699707,0.7697162628,
550,0.8570854664,
551.0200195,0.09949553013,
552.0499878,0.5117218494,
552.9400024,0.3907822371,
553.9699707,-0.03565728664,
555,0.8741521835,
556.0200195,0.4137122631,
557.0499878,0.2439904213,
557.9400024,0.9375429153,
558.9699707,0.7089083195,
560,0.6360208988,
561.0200195,0.3537728786,
562.0499878,0.7336218357,
562.9400024,0.5685875416,
563.9699707,0.7423660755,
565,0.3657480478,
566.0200195,0.6985173225,
567.0499878,1.317983389,
567.9400024,2.21239996,
568.9699707,6.078602314,
570,11.70790958,
571.0200195,26.56755257,
572.0499878,52.47389221,
572.9400024,89.80073547,
573.9699707,143.1008301,
575,205.7743378,
576.0200195,287.4312744,
577.0499878,363.8403931,
577.9400024,427.2062988,
578.9699707,492.1084595,
580,536.5661011,
581.0100098,520.758667,
582.0200195,466.7138367,
583.039978,374.1123962,
584.0499878,275.5099487,
585.0700073,177.8488922,
585.9400024,118.8030319,
586.9500122,72.53542328,
587.9699707,51.6014328,
588.9799805,41.83189392,
590,39.16078949,
591.0200195,40.08562469,
592.0499878,40.59397888,
592.9400024,40.99320984,
593.9699707,41.67957306,
595,43.43668365,
596.0200195,42.06951904,
597.0499878,43.42702484,
597.9400024,45.96117401,
598.9699707,44.23396301,
600,44.52394867,
601.0100098,44.79112244,
602.0200195,47.62856293,
603.039978,48.19628906,
604.0499878,46.56542206,
605.0700073,47.13207245,
605.9400024,50.222229,
